Drug,Enzyme,Action,Database,DrugID
disulfiram,CYP2B6,substrate,SuperCYP,97778
disulfiram,CYP2C9,inhibitor,SuperCYP,97778
disulfiram,CYP2D6,inhibitor,SuperCYP,97778
disulfiram,CYP2D6,substrate,SuperCYP,97778
disulfiram,CYP2E1,inhibitor,SuperCYP,97778
disulfiram,CYP2E1,substrate,SuperCYP,97778
disulfiram,CYP3A4,inhibitor,SuperCYP,97778
disulfiram,CYP3A4,substrate,SuperCYP,97778
disulfiram,CYP3A5,substrate,SuperCYP,97778
disulfiram,CYP1A2,inhibitor,KEGG,D00131
disulfiram,CYP2C9,inhibitor,KEGG,D00131
disulfiram,CYP2C8,inhibitor,SuperCYP,97778
divalproex,CYP2C9,substrate,KEGG,D00304
docetaxel,CYP3A7,substrate,DrugBank,DB01248
docetaxel,CYP3A5,substrate,DrugBank,DB01248
docetaxel,CYP3A4,"substrate,inhibitor",DrugBank,DB01248
docetaxel,CYP3A4,substrate,Indiana University,
docetaxel,CYP3A5,substrate,Indiana University,
docetaxel,CYP3A7,substrate,Indiana University,
docetaxel,CYP3A4,substrate,ildcare,
docetaxel,ABCG2,substrate,transporter,
docetaxel,SLC01B3,substrate,transporter,
docetaxel,CYP1B1,inducer,SuperCYP,114977285
docetaxel,CYP1B1,inhibitor,SuperCYP,114977285
docetaxel,CYP1B1,substrate,SuperCYP,114977285
docetaxel,CYP3A4,inhibitor,SuperCYP,114977285
docetaxel,CYP3A4,substrate,SuperCYP,114977285
docetaxel,CYP3A5,substrate,SuperCYP,114977285
docetaxel,CYP3A7,substrate,SuperCYP,114977285
docetaxel,CYP2C8,substrate,ildcare,
dofetilide,CYP3A4,substrate,DrugBank,DB00204
dofetilide,CYP3A4,substrate,ildcare,
dofetilide,CYP3A4,substrate,SuperCYP,115256116
dolasetron,CYP2C9,substrate,DrugBank,DB00757
dolasetron,CYP2D6,substrate,DrugBank,DB00757
dolasetron,CYP2D6,substrate,ildcare,
dolasetron,CYP3A4,substrate,DrugBank,DB00757
dolasetron,CYP3A4,substrate,ildcare,
dolasetron,CYP2C9,substrate,SuperCYP,115956122
dolasetron,CYP2D6,substrate,SuperCYP,115956122
dolasetron,CYP2D6,inhibitor,SuperCYP,115956122
dolasetron,CYP3A4,substrate,SuperCYP,115956122
dolasetron,CYP2C8,substrate,SuperCYP,115956122
domperidone,CYP2C8,substrate,DrugBank,DB01184
domperidone,CYP1A2,substrate,DrugBank,DB01184
domperidone,CYP2B6,substrate,DrugBank,DB01184
domperidone,CYP2D6,substrate,DrugBank,DB01184
domperidone,CYP3A7,substrate,DrugBank,DB01184
domperidone,CYP3A5,substrate,DrugBank,DB01184
domperidone,CYP3A4,substrate,DrugBank,DB01184
domperidone,CYP3A4,substrate,Indiana University,
domperidone,CYP3A5,substrate,Indiana University,
domperidone,CYP3A7,substrate,Indiana University,
domperidone,CYP1A2,substrate,SuperCYP,57808669
domperidone,CYP2B6,substrate,SuperCYP,57808669
domperidone,CYP2D6,substrate,SuperCYP,57808669
domperidone,CYP3A4,substrate,SuperCYP,57808669
domperidone,CYP3A5,substrate,SuperCYP,57808669
domperidone,CYP3A7,substrate,SuperCYP,57808669
domperidone,CYP3A5,substrate,KEGG,D01745
domperidone,CYP3A7,substrate,KEGG,D01745
domperidone,CYP2C8,substrate,SuperCYP,57808669
donepezil,CYP2C9,substrate,DrugBank,DB00843
donepezil,CYP2D6,substrate,DrugBank,DB00843
donepezil,CYP2D6,substrate,Indiana University,
donepezil,CYP2D6,substrate,ildcare,
donepezil,CYP3A4,substrate,DrugBank,DB00843
donepezil,CYP3A4,substrate,ildcare,
donepezil,CYP2D6,substrate,SuperCYP,120014064
donepezil,CYP3A4,substrate,SuperCYP,120014064
donepezil,CYP2D6,substrate,KEGG,D07869
dopamine,CYP1A2,inhibitor,DrugBank,DB00988
dopamine,CYP2C9,substrate,DrugBank,DB00988
dopamine,CYP2C19,substrate,DrugBank,DB00988
dopamine,CYP2D6,substrate,DrugBank,DB00988
dopamine,SLC22A2,"substrate,inhibitor",transporter,
dopamine,CYP1A2,substrate,SuperCYP,51616
dopamine,CYP1A2,inhibitor,SuperCYP,51616
dopamine,CYP2C9,substrate,SuperCYP,51616
dopamine,CYP2C19,substrate,SuperCYP,51616
dopamine,CYP2D6,substrate,SuperCYP,51616
dopamine,CYP2E1,inhibitor,SuperCYP,51616
dopamine,CYP19A,inhibitor,SuperCYP,51616
dorzolamide,CYP2C9,substrate,DrugBank,DB00869
dorzolamide,CYP3A4,substrate,DrugBank,DB00869
dorzolamide,CYP2C9,substrate,SuperCYP,120279961
dorzolamide,CYP2E1,substrate,SuperCYP,120279961
dorzolamide,CYP3A4,substrate,SuperCYP,120279961
dorzolamide,CYP2C8,substrate,SuperCYP,120279961
dothiepin,CYP2D6,substrate,KEGG,D01546
doxazosin,CYP2C19,substrate,DrugBank,DB00590
doxazosin,CYP2D6,substrate,DrugBank,DB00590
doxazosin,CYP2C19,substrate,SuperCYP,74191858
doxazosin,CYP2D6,substrate,SuperCYP,74191858
doxazosin,CYP3A4,substrate,SuperCYP,74191858
doxepin,CYP1A2,substrate,DrugBank,DB01142
doxepin,CYP2C9,substrate,DrugBank,DB01142
doxepin,CYP2C19,substrate,DrugBank,DB01142
doxepin,CYP2D6,"substrate,inhibitor",DrugBank,DB01142
doxepin,CYP2D6,inhibitor,Indiana University,
doxepin,CYP2D6,substrate,ildcare,
doxepin,CYP3A4,substrate,DrugBank,DB01142
doxepin,CYP1A2,substrate,SuperCYP,1668195
doxepin,CYP2C9,substrate,SuperCYP,1668195
doxepin,CYP2C19,substrate,SuperCYP,1668195
doxepin,CYP2D6,inhibitor,SuperCYP,1668195
doxepin,CYP2D6,substrate,SuperCYP,1668195
doxepin,CYP3A4,substrate,SuperCYP,1668195
doxepin,CYP2D6,inhibitor,KEGG,D07875
doxepin,CYP2D6,substrate,KEGG,D07875
doxifluridine,CYP2C9,inhibitor,KEGG,D01309
doxorubicin,CYP2B6,inhibitor,DrugBank,DB00997
doxorubicin,CYP2D6,"substrate,inhibitor",DrugBank,DB00997
doxorubicin,CYP2D6,inhibitor,Indiana University,
doxorubicin,CYP3A4,"substrate,inhibitor",DrugBank,DB00997
doxorubicin,CYP3A4,substrate,ildcare,
doxorubicin,ABCG2,"substrate,inhibitor",transporter,
doxorubicin,CYP1A1,inducer,SuperCYP,23214928
doxorubicin,CYP1A2,inducer,SuperCYP,23214928
doxorubicin,CYP1B1,inhibitor,SuperCYP,23214928
doxorubicin,CYP2B6,inhibitor,SuperCYP,23214928
doxorubicin,CYP2D6,inhibitor,SuperCYP,23214928
doxorubicin,CYP2D6,substrate,SuperCYP,23214928
doxorubicin,CYP3A4,inducer,SuperCYP,23214928
doxorubicin,CYP3A4,substrate,SuperCYP,23214928
doxorubicin,CYP3A4,inhibitor,SuperCYP,23214928
doxorubicin,CYP3A5,substrate,SuperCYP,23214928
doxorubicin,CYP2D6,inhibitor,KEGG,D03899
doxycycline,CYP3A4,inhibitor,DrugBank,DB00254
doxycycline,SLC22A6,inhibitor,transporter,
doxycycline,SLC22A8,inhibitor,transporter,
doxycycline,CYP1B1,inhibitor,SuperCYP,564250
doxycycline,CYP3A4,substrate,SuperCYP,564250
doxycycline,CYP3A4,inhibitor,SuperCYP,564250
doxylamin,CYP3A4,inducer,SuperCYP,469216
doxylamin,CYP3A5,inducer,SuperCYP,469216
doxylamin,CYP3A7,inducer,SuperCYP,469216
doxylamine,CYP3A4,inducer,SuperCYP,469216
doxylamine,CYP3A5,inducer,SuperCYP,469216
doxylamine,CYP3A7,inducer,SuperCYP,469216
dronabinol,CYP1A1,substrate,DrugBank,DB00470
dronabinol,CYP2A6,substrate,DrugBank,DB00470
dronabinol,CYP2C9,substrate,DrugBank,DB00470
dronabinol,CYP2C9,substrate,ildcare,
dronabinol,CYP2C19,substrate,DrugBank,DB00470
dronabinol,CYP3A4,substrate,DrugBank,DB00470
dronabinol,CYP3A4,substrate,ildcare,
dronabinol,ABCG2,inhibitor,transporter,
dronabinol,CYP1A1,substrate,SuperCYP,1972083
dronabinol,CYP2A6,substrate,SuperCYP,1972083
dronabinol,CYP2C9,substrate,SuperCYP,1972083
dronabinol,CYP2C19,substrate,SuperCYP,1972083
dronabinol,CYP2C9,substrate,KEGG,D00306
dronedarone,CYP2D6,"substrate,inhibitor",DrugBank,DB04855
dronedarone,CYP3A4,"substrate,inhibitor",DrugBank,DB04855
dronedarone,CYP3A,inhibitor,KEGG,D02537
dronedarone,CYP3A,substrate,KEGG,D02537
duloxetine,CYP1A2,substrate,DrugBank,DB00476
duloxetine,CYP1A2,substrate,Indiana University,
duloxetine,CYP2D6,"substrate,inhibitor",DrugBank,DB00476
duloxetine,CYP2D6,substrate,Indiana University,
duloxetine,CYP2D6,inhibitor,Indiana University,
duloxetine,CYP1A2,substrate,SuperCYP,cid60835
duloxetine,CYP2D6,substrate,SuperCYP,cid60835
duloxetine,CYP2D6,inhibitor,SuperCYP,cid60835
duloxetine,CYP1A2,substrate,KEGG,D07880
duloxetine,CYP2D6,inhibitor,KEGG,D07880
duloxetine,CYP2D6,substrate,KEGG,D07880
dutasteride,CYP3A5,substrate,DrugBank,DB01126
dutasteride,CYP3A4,substrate,DrugBank,DB01126
dutasteride,CYP3A4,substrate,ildcare,
dutasteride,CYP3A4,substrate,SuperCYP,164656239
dutasteride,CYP3A5,substrate,SuperCYP,164656239
dutasteride,CYP3A5,substrate,KEGG,D03820
ebastine,CYP2J2,substrate,SuperCYP,90729434
ebastine,CYP2J2,inhibitor,SuperCYP,90729434
ebastine,CYP3A4,substrate,SuperCYP,90729434
ebastine,CYP4F2,substrate,SuperCYP,90729434
echinacea,CYP1A2,inhibitor,KEGG,E00764
echinacea,CYP2D6,inhibitor,KEGG,E00764
echinacea,CYP3A, inducer,KEGG,E00764
econazole,CYP2E1,inhibitor,DrugBank,DB01127
econazole,CYP3A4,inhibitor,DrugBank,DB01127
econazole,CYP2E1,inhibitor,SuperCYP,27220479
econazole,CYP3A4,inhibitor,SuperCYP,27220479
econazole,CYP19A,inhibitor,SuperCYP,27220479
edetic acid,CYP1A2,inhibitor,DrugBank,DB00974
efavirenz,CYP1A2,inhibitor,DrugBank,DB00625
efavirenz,CYP1A2,inhibitor,Indiana University,
efavirenz,CYP2B6,"substrate,inhibitor, inducer",DrugBank,DB00625
efavirenz,CYP2B6,inducer,Indiana University,
efavirenz,CYP2C9,inhibitor,DrugBank,DB00625
efavirenz,CYP2C9,inhibitor,Indiana University,
efavirenz,CYP2C9,Inhibitor,ildcare,
efavirenz,CYP2C19,inhibitor,DrugBank,DB00625
efavirenz,CYP2C19,inducer,Indiana University,
efavirenz,CYP2C19,Inhibitor,ildcare,
efavirenz,CYP2D6,inhibitor,DrugBank,DB00625
efavirenz,CYP3A4,"substrate,inhibitor, inducer",DrugBank,DB00625
efavirenz,CYP3A4,inducer,Indiana University,
efavirenz,CYP3A5,inducer,Indiana University,
efavirenz,CYP3A7,inducer,Indiana University,
efavirenz,CYP3A4,substrate,ildcare,
efavirenz,CYP3A4,inhibitor,ildcare,
efavirenz,CYP3A4,Inducer,ildcare,
efavirenz,CYP1A2,inhibitor,SuperCYP,154598524
efavirenz,CYP2B6,inducer,SuperCYP,154598524
efavirenz,CYP2B6,substrate,SuperCYP,154598524
efavirenz,CYP2B6,inhibitor,SuperCYP,154598524
efavirenz,CYP2C9,inhibitor,SuperCYP,154598524
efavirenz,CYP2C19,inhibitor,SuperCYP,154598524
efavirenz,CYP2D6,inhibitor,SuperCYP,154598524
efavirenz,CYP3A4,inhibitor,SuperCYP,154598524
efavirenz,CYP3A4,substrate,SuperCYP,154598524
efavirenz,CYP3A4,inducer,SuperCYP,154598524
efavirenz,CYP2B6, inducer,KEGG,D00896
efavirenz,CYP2B6,substrate,KEGG,D00896
efavirenz,CYP3A, inducer,KEGG,D00896
efavirenz,CYP2C8,inhibitor,SuperCYP,154598524
efavirenz1,CYP2B6,substrate,Indiana University,
elacridar,SLCO1B1,inhibitor,transporter,
elacridar,ABCG2,inhibitor,transporter,
elacridar,SLC01B1,inhibitor,transporter,
elbasvir,ABCG2,inhibitor,transporter,
eletriptan,CYP2A6,inducer,DrugBank,DB00216
eletriptan,CYP2C9,substrate,DrugBank,DB00216
eletriptan,CYP2C19,substrate,DrugBank,DB00216
eletriptan,CYP2D6,substrate,DrugBank,DB00216
eletriptan,CYP3A4,"substrate, inducer",DrugBank,DB00216
eletriptan,CYP2A6,inducer,SuperCYP,143322581
eletriptan,CYP2D6,substrate,SuperCYP,143322581
eletriptan,CYP3A4,substrate,SuperCYP,143322581
eletriptan,CYP3A4,inducer,SuperCYP,143322581
eletriptan,CYP3A,substrate,KEGG,D07887
eliglustat,CYP2D6,substrate,DrugBank,DB09039
eliglustat,CYP3A4,substrate,DrugBank,DB09039
ellagic acid,CYP1A1,"inhibitor, inducer",DrugBank,DB08846
ellagic acid,CYP2E1,inhibitor,DrugBank,DB08846
eltrombopag,CYP2C8,"substrate,inhibitor",DrugBank,DB06210
eltrombopag,CYP1A2,"substrate,inhibitor",DrugBank,DB06210
eltrombopag,SLCO1B1,inhibitor,transporter,
eltrombopag,SLC01B1,inhibitor,transporter,
eltrombopag,CYP1A2,substrate,KEGG,D03978
eltrombopag,CYP2C8,substrate,KEGG,D03978
eluxadoline,SLCO1B1,"substrate,inhibitor",transporter,
eluxadoline,SLC01B1,"substrate,inhibitor",transporter,
eluxadoline,SLC22A8,substrate,transporter,
elvitegravir,CYP3A4,substrate,DrugBank,DB09101
emetine,CYP2D6,inhibitor,SuperCYP,483181
emetine,CYP2D6,substrate,SuperCYP,483181
emetine,CYP3A4,inhibitor,SuperCYP,483181
emetine,CYP3A4,substrate,SuperCYP,483181
enalapril,CYP3A4,substrate,DrugBank,DB00584
enalapril,SLC22A6,inhibitor,transporter,
enalapril,SLC22A8,inhibitor,transporter,
enalapril,CYP3A4,substrate,SuperCYP,75847733
encainide,CYP2D6,substrate,DrugBank,DB01228
encainide,CYP2D6,substrate,Indiana University,
encainide,CYP2D6,substrate,ildcare,
encainide,CYP2D6,substrate,SuperCYP,66778367
encainide,CYP2D6,substrate,KEGG,D07894
enflurane,CYP2E1,substrate,DrugBank,DB00228
enflurane,CYP2E1,substrate,Indiana University,
enflurane,CYP2E1,substrate,SuperCYP,13838169
enflurane,CYP2F1,substrate,SuperCYP,13838169
enfuvirtide,CYP2C19,substrate,DrugBank,DB00109
enfuvirtide,CYP2E1,substrate,DrugBank,DB00109
enoxacin,CYP1A2,inhibitor,DrugBank,DB00467
enoxacin,CYP1A2,Inhibitor,ildcare,
enoxacin,CYP1A1,inducer,SuperCYP,74011588
enoxacin,CYP1A2,inhibitor,SuperCYP,74011588
enoxacin,CYP1A2,inhibitor,KEGG,D00310
enoxacin,CYP1A2,substrate,KEGG,D00310
enoxolone,CYP1A2,inhibitor,SuperCYP,471534
enoxolone,CYP2C9,inhibitor,SuperCYP,471534
entacapone,CYP1A2,inhibitor,SuperCYP,116314671
entacapone,CYP2A6,inhibitor,SuperCYP,116314671
entacapone,CYP2C9,inhibitor,SuperCYP,116314671
entacapone,CYP2C19,inhibitor,SuperCYP,116314671
entacapone,CYP2D6,inhibitor,SuperCYP,116314671
entacapone,CYP2E1,inhibitor,SuperCYP,116314671
entacapone,CYP3A4,inhibitor,SuperCYP,116314671
entacapone,CYP2C9,substrate,KEGG,D00781
entacapone,CYP2C8,inhibitor,SuperCYP,116314671
enzalutamide,CYP2C8,"substrate,inhibitor",DrugBank,DB08899
enzalutamide,CYP2C9,inducer,DrugBank,DB08899
enzalutamide,CYP2C9,inducer,Indiana University,
enzalutamide,CYP2C19,inducer,DrugBank,DB08899
enzalutamide,CYP2C19,inducer,Indiana University,
enzalutamide,CYP2D6,inhibitor,DrugBank,DB08899
enzalutamide,CYP3A5,inhibitor,DrugBank,DB08899
enzalutamide,CYP3A4,"substrate, inducer",DrugBank,DB08899
enzalutamide,CYP3A4,inducer,Indiana University,
enzalutamide,CYP3A5,inducer,Indiana University,
enzalutamide,CYP3A7,inducer,Indiana University,
epinastine,CYP2B6,substrate,DrugBank,DB00751
epinastine,CYP2D6,"substrate,inhibitor",DrugBank,DB00751
epinastine,CYP3A4,substrate,DrugBank,DB00751
epinastine,CYP2B6,substrate,SuperCYP,80012437
epinastine,CYP2D6,substrate,SuperCYP,80012437
epinastine,CYP2D6,inhibitor,SuperCYP,80012437
epinastine,CYP3A4,substrate,SuperCYP,80012437
epinephrin,CYP1A2,inhibitor,SuperCYP,51434
epinephrin,CYP2C9,inhibitor,SuperCYP,51434
epinephrin,CYP3A4,inhibitor,SuperCYP,51434
epinephrine,CYP1A2,inhibitor,DrugBank,DB00668
epinephrine,CYP2C9,inhibitor,DrugBank,DB00668
epinephrine,CYP3A4,inhibitor,DrugBank,DB00668
epinephrine,SLC22A2,"substrate,inhibitor",transporter,
epinephrine,CYP1A2,inhibitor,SuperCYP,51434
epinephrine,CYP2C9,inhibitor,SuperCYP,51434
epinephrine,CYP3A4,inhibitor,SuperCYP,51434
eplerenone,CYP3A7,substrate,DrugBank,DB00700
eplerenone,CYP3A5,substrate,DrugBank,DB00700
eplerenone,CYP3A4,substrate,DrugBank,DB00700
eplerenone,CYP3A4,substrate,Indiana University,
eplerenone,CYP3A5,substrate,Indiana University,
eplerenone,CYP3A7,substrate,Indiana University,
eplerenone,CYP3A4,substrate,SuperCYP,107724209
eplerenone,CYP3A5,substrate,SuperCYP,107724209
eplerenone,CYP3A7,substrate,SuperCYP,107724209
eplerenone,CYP11B2,inhibitor,SuperCYP,107724209
eplerenone,CYP3A5,substrate,KEGG,D01115
eplerenone,CYP3A7,substrate,KEGG,D01115
eplerenone,CYP3A,substrate,KEGG,D01115
epoprostenol,CYP2C9,substrate,DrugBank,DB01240
epoprostenol,CYP2C9,substrate,SuperCYP,35121789
eprosartan,CYP2C9,inhibitor,DrugBank,DB00876
eprosartan,CYP2C9,inhibitor,SuperCYP,133040014
eprosartan,CYP2C8,inhibitor,SuperCYP,133040014
ergocalciferol,CYP3A4,substrate,DrugBank,DB00153
ergocalciferol,CYP2C11,substrate,SuperCYP,50146
ergocalciferol,CYP2J2,substrate,SuperCYP,50146
ergocalciferol,CYP3A4,substrate,SuperCYP,50146
ergocalciferol,CYP3A4,inducer,SuperCYP,50146
ergoloid,CYP3A4,"substrate,inhibitor",DrugBank,DB01049
ergometrine,CYP1A1,inhibitor,SuperCYP,60797
ergometrine,CYP3A4,inhibitor,SuperCYP,60797
ergonovine,CYP3A4,"substrate,inhibitor",DrugBank,DB01253
ergotamine,CYP1A2,substrate,DrugBank,DB00696
ergotamine,CYP3A4,"substrate,inhibitor",DrugBank,DB00696
ergotamine,CYP3A4,substrate,ildcare,
ergotamine,CYP1A2,substrate,SuperCYP,113155
ergotamine,CYP3A4,inhibitor,SuperCYP,113155
ergotamine,CYP3A4,substrate,SuperCYP,113155
ergotamine,CYP3A,inhibitor,KEGG,D07906
ergotamine,CYP3A,substrate,KEGG,D07906
erlotinib,CYP2C8,"substrate,inhibitor",DrugBank,DB00530
erlotinib,CYP1A1,substrate,DrugBank,DB00530
erlotinib,CYP1A2,substrate,DrugBank,DB00530
erlotinib,CYP2D6,substrate,DrugBank,DB00530
erlotinib,CYP3A5,substrate,DrugBank,DB00530
erlotinib,CYP3A4,substrate,DrugBank,DB00530
erlotinib,ABCG2,inhibitor,transporter,
erlotinib,CYP1A2,substrate,KEGG,D07907
erythromycin,CYP1A2,inhibitor,DrugBank,DB00199
erythromycin,CYP1A2,Inhibitor,ildcare,
erythromycin,CYP2B6,substrate,DrugBank,DB00199
erythromycin,CYP3A7,"substrate,inhibitor",DrugBank,DB00199
erythromycin,CYP3A5,inhibitor,DrugBank,DB00199
erythromycin,CYP3A4,"substrate,inhibitor",DrugBank,DB00199
erythromycin,CYP3A4,substrate,Indiana University,
erythromycin,CYP3A4,inhibitor,Indiana University,
erythromycin,CYP3A5,inhibitor,Indiana University,
erythromycin,CYP3A7,inhibitor,Indiana University,
erythromycin,CYP3A4,substrate,ildcare,
erythromycin,CYP3A4,inhibitor,ildcare,
erythromycin,CYP3A7,substrate,Indiana University,
erythromycin,CYP1A1,substrate,SuperCYP,114078
erythromycin,CYP1A2,inhibitor,SuperCYP,114078
erythromycin,CYP1A2,substrate,SuperCYP,114078
erythromycin,CYP1B1,substrate,SuperCYP,114078
erythromycin,CYP2B6,substrate,SuperCYP,114078
erythromycin,CYP3A4,inducer,SuperCYP,114078
erythromycin,CYP3A4,inhibitor,SuperCYP,114078
erythromycin,CYP3A4,substrate,SuperCYP,114078
erythromycin,CYP3A5,substrate,SuperCYP,114078
erythromycin,CYP3A5,inhibitor,SuperCYP,114078
erythromycin,CYP3A7,substrate,SuperCYP,114078
erythromycin,CYP2C19,inhibitor,KEGG,D00140
erythromycin,CYP3A4,inhibitor,KEGG,D00140
erythromycin,CYP3A7,inhibitor,KEGG,D00140
erythromycin,CYP3A,inhibitor,KEGG,D00140
erythromycin,CYP3A5,substrate,KEGG,D00140
erythromycin,CYP3A7,substrate,KEGG,D00140
escitalopram,CYP2C19,substrate,DrugBank,DB01175
escitalopram,CYP2D6,"substrate,inhibitor",DrugBank,DB01175
escitalopram,CYP2D6,inhibitor,Indiana University,
escitalopram,CYP3A4,substrate,DrugBank,DB01175
escitalopram,CYP2C19,substrate,SuperCYP,128196010
escitalopram,CYP2D6,substrate,SuperCYP,128196010
escitalopram,CYP2D6,inhibitor,SuperCYP,128196010
escitalopram,CYP3A4,substrate,SuperCYP,128196010
escitalopram,CYP2C19,substrate,KEGG,D07913
escitalopram,CYP2D6,inhibitor,KEGG,D07913
escitalopram,CYP2D6,substrate,KEGG,D07913
esflurbiprofen,CYP2C9,substrate,KEGG,D10254
esketamine,CYP2B6,substrate,SuperCYP,33643468
esketamine,CYP2C9,substrate,SuperCYP,33643468
esketamine,CYP3A4,substrate,SuperCYP,33643468
esmirtazapine,CYP2D6,substrate,DrugBank,DB06678
esomeprazole,CYP2C19,"substrate,inhibitor",DrugBank,DB00736
esomeprazole,CYP2C19,substrate,Indiana University,
esomeprazole,CYP2C19,inhibitor,Indiana University,
esomeprazole,CYP2C19,substrate,ildcare,
esomeprazole,CYP3A4,substrate,DrugBank,DB00736
esomeprazole,CYP3A4,substrate,ildcare,
esomeprazole,CYP2C19,substrate,SuperCYP,161973100
esomeprazole,CYP3A4,substrate,SuperCYP,161973100
esomeprazole,CYP1A2, inducer,KEGG,D07917
esomeprazole,CYP2C19,inhibitor,KEGG,D07917
esomeprazole,CYP2C19,substrate,KEGG,D07917
estazolam,CYP3A4,substrate,DrugBank,DB01215
estazolam,CYP3A4,substrate,SuperCYP,29975164
estradiol,CYP2C8,substrate,DrugBank,DB00783
estradiol,CYP1A1,substrate,DrugBank,DB00783
estradiol,CYP1A2,substrate,DrugBank,DB00783
estradiol,CYP1A2,substrate,Indiana University,
estradiol,CYP1A2,substrate,ildcare,
estradiol,CYP2C9,substrate,DrugBank,DB00783
estradiol,CYP2C19,substrate,DrugBank,DB00783
estradiol,CYP3A7,substrate,DrugBank,DB00783
estradiol,CYP3A5,substrate,DrugBank,DB00783
estradiol,CYP3A4,substrate,DrugBank,DB00783
estradiol,CYP3A4,substrate,Indiana University,
estradiol,CYP3A5,substrate,Indiana University,
estradiol,CYP3A7,substrate,Indiana University,
estradiol,SLCO1B1,inhibitor,transporter,
estradiol,ABCG2,inhibitor,transporter,
estradiol,SLC01B1,inhibitor,transporter,
estradiol,SLC22A2,inhibitor,transporter,
estradiol,CYP3A4,substrate,DrugBank,DB08866
estradiol,CYP1A1,substrate,SuperCYP,50282
estradiol,CYP1A2,substrate,SuperCYP,50282
estradiol,CYP1B1,substrate,SuperCYP,50282
estradiol,CYP2C9,substrate,SuperCYP,50282
estradiol,CYP2C19,substrate,SuperCYP,50282
estradiol,CYP3A4,substrate,SuperCYP,50282
estradiol,CYP3A5,substrate,SuperCYP,50282
estradiol,CYP3A7,substrate,SuperCYP,50282
estradiol,CYP1A2,substrate,KEGG,D00105
estradiol,CYP1B1,substrate,KEGG,D00105
estradiol,CYP2C8,substrate,SuperCYP,50282
estramustine,CYP3A4,substrate,DrugBank,DB01196
estramustine,CYP3A4,substrate,SuperCYP,2998574
estriol,CYP1A1,inducer,SuperCYP,50271
estriol,CYP1A1,inhibitor,SuperCYP,50271
estriol,CYP1A2,inhibitor,SuperCYP,50271
estriol,CYP3A7,substrate,SuperCYP,50271
estrogens,CYP3A4,substrate,ildcare,
estrogens,CYP3A4,substrate,KEGG,D04070
estrone,CYP1A1,substrate,DrugBank,DB00655
estrone,CYP1A2,substrate,DrugBank,DB00655
estrone,CYP2B6,substrate,DrugBank,DB00655
estrone,CYP2C9,substrate,DrugBank,DB00655
estrone,CYP2E1,substrate,DrugBank,DB00655
estrone,CYP3A5,substrate,DrugBank,DB00655
estrone,CYP3A4,substrate,DrugBank,DB00655
estrone,CYP4A11,substrate,DrugBank,DB00655
estrone,SLCO1B1,inhibitor,transporter,
estrone,ABCG2,inhibitor,transporter,
estrone,SLC01B1,inhibitor,transporter,
estrone,CYP1A1,substrate,SuperCYP,53167
estrone,CYP1A2,substrate,SuperCYP,53167
estrone,CYP1B1,substrate,SuperCYP,53167
estrone,CYP2B6,substrate,SuperCYP,53167
estrone,CYP2C9,substrate,SuperCYP,53167
estrone,CYP2E1,substrate,SuperCYP,53167
estrone,CYP3A4,substrate,SuperCYP,53167
estrone,CYP3A5,substrate,SuperCYP,53167
estrone,CYP4A11,substrate,SuperCYP,53167
estropipate,CYP1A2,substrate,DrugBank,DB04574
estropipate,CYP2C9,inducer,DrugBank,DB04574
estropipate,CYP3A4,substrate,DrugBank,DB04574
eszopiclone,CYP2C8,substrate,DrugBank,DB00402
eszopiclone,CYP2C9,substrate,DrugBank,DB00402
eszopiclone,CYP3A4,substrate,DrugBank,DB00402
etacrynic acid,SLC22A6,inhibitor,transporter,
etacrynic acid,CYP1A1,substrate,SuperCYP,58548
etanautine,CYP2D6,inhibitor,SuperCYP,58731
etanautine,CYP2D6,substrate,SuperCYP,58731
ethanol,CYP1A1,inhibitor,DrugBank,DB00898
ethanol,CYP1A2,substrate,DrugBank,DB00898
ethanol,CYP2B6,inhibitor,DrugBank,DB00898
ethanol,CYP2C9,inhibitor,DrugBank,DB00898
ethanol,CYP2C19,inhibitor,DrugBank,DB00898
ethanol,CYP2D6,Inducer,ildcare,
ethanol,CYP2E1,"substrate,inhibitor, inducer",DrugBank,DB00898
ethanol,CYP2E1,substrate,Indiana University,
ethanol,CYP2E1,inducer,Indiana University,
ethanol,CYP3A4,"substrate,inhibitor, inducer",DrugBank,DB00898
ethanol,CYP4A11,inducer,DrugBank,DB00898
ethanol,CYP1A1,inhibitor,SuperCYP,64175
ethanol,CYP1A2,substrate,SuperCYP,64175
ethanol,CYP2B6,inhibitor,SuperCYP,64175
ethanol,CYP2C9,inhibitor,SuperCYP,64175
ethanol,CYP2C19,inhibitor,SuperCYP,64175
ethanol,CYP2E1,inhibitor,SuperCYP,64175
ethanol,CYP2E1,substrate,SuperCYP,64175
ethanol,CYP2E1,inducer,SuperCYP,64175
ethanol,CYP3A4,inhibitor,SuperCYP,64175
ethanol,CYP3A4,substrate,SuperCYP,64175
ethanol,CYP3A4,inducer,SuperCYP,64175
ethanol,CYP4A11,inducer,SuperCYP,64175
ethanol,CYP19A,inducer,SuperCYP,64175
ethanol,CYP2D6,substrate,KEGG,D06542
ethanolamine oleate,CYP2E1,substrate,DrugBank,DB06689
ethinyl estradiol,CYP2C8,inhibitor,DrugBank,DB00977
ethinyl estradiol,CYP1A2,Inhibitor,ildcare,
ethinyl estradiol,CYP3A4,substrate,DrugBank,DB00977
