DrugName,CypName,Action,Species,Database,CASNumber
Fluorouracil,2C9,inhibitor,human,SuperCYP,000051218
Fluoxetine,2C9,inhibitor,human,SuperCYP,054910893
Fluoxetine,2C9,substrate,human,SuperCYP,054910893
Fluoxetine,2C9,inhibitor,,SuperCYP,054910893
Fluoxetine,2C9,substrate,,SuperCYP,054910893
Fluoxetine,2C9,substrate,human,SuperCYP,054910893
Fluphenazine,2C9,inhibitor,,SuperCYP,000069238
Flurbiprofen,2C9,substrate,human,SuperCYP,005104494
Flurbiprofen,2C9,inhibitor,,SuperCYP,005104494
Flurbiprofen,2C9,substrate,,SuperCYP,005104494
Flurbiprofen,2C9,substrate,human,SuperCYP,005104494
Fluvastatin,2C9,substrate,human,SuperCYP,093957541
Fluvastatin,2C9,inhibitor,human,SuperCYP,093957541
Fluvastatin,2C9,inhibitor,,SuperCYP,093957541
Fluvastatin,2C9,substrate,,SuperCYP,093957541
Fluvastatin,2C9,inhibitor,human,SuperCYP,093957541
Fluvastatin,2C9,substrate,human,SuperCYP,093957541
Fluvoxamine,2C9,inhibitor,human,SuperCYP,054739183
Fluvoxamine,2C9,inhibitor,,SuperCYP,054739183
Fluvoxamine,2C9,inhibitor,human,SuperCYP,054739183
Formoterol,2C9,substrate,,SuperCYP,043229807
Fosamprenavir,2C9,substrate,,SuperCYP,226700794
Fosphenytoin,2C9,inhibitor,,SuperCYP,093390819
Fosphenytoin,2C9,substrate,,SuperCYP,093390819
Gemfibrozil,2C9,inhibitor,human,SuperCYP,025812300
Gemfibrozil,2C9,inhibitor,human,SuperCYP,025812300
Glibenclamide,2C9,inhibitor,human,SuperCYP,010238218
Glibenclamide,2C9,substrate,human,SuperCYP,010238218
Glibenclamide,2C9,substrate,human,SuperCYP,010238218
Glibenclamide,2C9,substrate,,SuperCYP,010238218
Glibenclamide,2C9,substrate,human,SuperCYP,010238218
Glimepiride,2C9,substrate,human,SuperCYP,093479971
Glimepiride,2C9,substrate,human,SuperCYP,093479971
Glipizide,2C9,substrate,human,SuperCYP,029094619
Glipizide,2C9,substrate,,SuperCYP,029094619
Glipizide,2C9,substrate,,SuperCYP,029094619
Griseofulvin,2C9,inducer,,SuperCYP,000126078
Halofantrine,2C9,substrate,,SuperCYP,069756532
Haloperidol,2C9,substrate,human,SuperCYP,000052868
Halothane,2C9,substrate,human,SuperCYP,000151677
Halothane,2C9,substrate,,SuperCYP,000151677
Hexobarbital,2C9,substrate,human,SuperCYP,000056291
Histamine,2C9,inhibitor,human,SuperCYP,000051456
Histamine,2C9,substrate,human,SuperCYP,000051456
Hydrochloric acid,2C9,inhibitor,human,SuperCYP,007647010
Hydromorphone,2C9,substrate,human,SuperCYP,000466999
Hydromorphone,2C9,substrate,human,SuperCYP,000466999
Ibuprofen,2C9,inhibitor,human,SuperCYP,015687271
Ibuprofen,2C9,substrate,human,SuperCYP,015687271
Ibuprofen,2C9,inhibitor,human,SuperCYP,015687271
Ibuprofen,2C9,substrate,human,SuperCYP,015687271
Idarubicin,2C9,substrate,human,SuperCYP,058957929
Idarubicin,2C9,substrate,human,SuperCYP,058957929
Ifosfamide,2C9,inducer,human,SuperCYP,003778732
Ifosfamide,2C9,inducer,,SuperCYP,003778732
Ifosfamide,2C9,substrate,human,SuperCYP,003778732
Imatinib,2C9,inhibitor,,SuperCYP,152459955
Imatinib,2C9,substrate,,SuperCYP,152459955
Indinavir,2C9,inhibitor,human,SuperCYP,150378179
Indinavir,2C9,inhibitor,,SuperCYP,150378179
Indometacin,2C9,substrate,human,SuperCYP,000053861
Indometacin,2C9,inhibitor,,SuperCYP,000053861
Indometacin,2C9,substrate,human,SuperCYP,000053861
Ipriflavone,2C9,inhibitor,human,SuperCYP,035212227
Ipriflavone,2C9,inhibitor,human,SuperCYP,035212227
Irbesartan,2C9,inhibitor,human,SuperCYP,138402116
Irbesartan,2C9,substrate,human,SuperCYP,138402116
Irbesartan,2C9,inhibitor,human,SuperCYP,138402116
Irbesartan,2C9,substrate,human,SuperCYP,138402116
Irbesartan,2C9,substrate,human,SuperCYP,138402116
Isoniazid,2C9,inhibitor,human,SuperCYP,000054853
Isoniazid,2C9,inhibitor,human,SuperCYP,000054853
Isoniazid,2C9,inhibitor,human,SuperCYP,000054853
Ketamine,2C9,substrate,human,SuperCYP,006740881
Ketamine,2C9,substrate,human,SuperCYP,006740881
Ketamine,2C9,substrate,human,SuperCYP,006740881
Ketobemidone,2C9,substrate,human,SuperCYP,000469794
Ketobemidone,2C9,substrate,human,SuperCYP,000469794
Ketoconazole,2C9,inhibitor,human,SuperCYP,065277421
Ketoconazole,2C9,inhibitor,human,SuperCYP,065277421
Ketoconazole,2C9,inhibitor,human,SuperCYP,065277421
Ketoprofen,2C9,inhibitor,human,SuperCYP,022071154
Lansoprazole,2C9,inducer,human,SuperCYP,103577453
Lansoprazole,2C9,inhibitor,human,SuperCYP,103577453
Lansoprazole,2C9,substrate,human,SuperCYP,103577453
Lansoprazole,2C9,inhibitor,human,SuperCYP,103577453
Lansoprazole,2C9,substrate,human,SuperCYP,103577453
Leflunomide,2C9,inhibitor,human,SuperCYP,075706126
Leflunomide,2C9,substrate,human,SuperCYP,075706126
Lidocain,2C9,substrate,human,SuperCYP,000137586
Lidocain,2C9,substrate,human,SuperCYP,000137586
Lidocaine,2C9,substrate,human,SuperCYP,000137586
Lidocaine,2C9,substrate,human,SuperCYP,000137586
Lopinavir,2C9,inhibitor,human,SuperCYP,192725170
Loratadine,2C9,inhibitor,human,SuperCYP,079794755
Loratadine,2C9,substrate,human,SuperCYP,079794755
Lornoxicam,2C9,inhibitor,human,SuperCYP,070374399
Lornoxicam,2C9,substrate,human,SuperCYP,070374399
Lornoxicam,2C9,substrate,human,SuperCYP,070374399
Losartan,2C9,inhibitor,human,SuperCYP,114798264
Losartan,2C9,substrate,human,SuperCYP,114798264
Losartan,2C9,substrate,human,SuperCYP,114798264
Losartan,2C9,inhibitor,,SuperCYP,114798264
Losartan,2C9,substrate,human,SuperCYP,114798264
Lovastatin,2C9,inhibitor,human,SuperCYP,075330755
Lovastatin,2C9,inhibitor,human,SuperCYP,075330755
Lovastatin,2C9,inducer,human,SuperCYP,075330755
Lumiracoxib,2C9,substrate,human,SuperCYP,220991208
Lumiracoxib,2C9,substrate,human,SuperCYP,220991208
Lynestrenol,2C9,inducer,human,SuperCYP,000052766
Manidipine,2C9,inhibitor,human,SuperCYP,089226506
Manidipine,2C9,inhibitor,human,SuperCYP,089226506
Medroxyprogesterone,2C9,inhibitor,human,SuperCYP,000520854
Medrysone,2C9,inhibitor,,SuperCYP,002668668
Mefenamic acid,2C9,inhibitor,human,SuperCYP,000061687
Mefenamic acid,2C9,substrate,human,SuperCYP,000061687
Meloxicam,2C9,inhibitor,human,SuperCYP,071125387
Meloxicam,2C9,substrate,human,SuperCYP,071125387
Meloxicam,2C9,inhibitor,human,SuperCYP,071125387
Meloxicam,2C9,substrate,human,SuperCYP,071125387
Mephenytoin,2C9,substrate,human,SuperCYP,000050124
Methadone,2C9,substrate,human,SuperCYP,000076993
Methadone,2C9,substrate,human,SuperCYP,000076993
Methazolamide,2C9,inhibitor,human,SuperCYP,000554574
Methoxyflurane,2C9,substrate,human,SuperCYP,000076380
Metronidazole,2C9,inhibitor,human,SuperCYP,000443481
Metronidazole,2C9,inhibitor,human,SuperCYP,000443481
Metronidazole,2C9,substrate,human,SuperCYP,000443481
Miconazole,2C9,inhibitor,human,SuperCYP,022916478
Miconazole,2C9,inhibitor,human,SuperCYP,022916478
Mirtazapine,2C9,substrate,human,SuperCYP,061337675
Mizolastine,2C9,inhibitor,human,SuperCYP,108612459
Mizolastine,2C9,inhibitor,,SuperCYP,108612459
Moclobemide,2C9,inhibitor,human,SuperCYP,071320779
Moclobemide,2C9,substrate,human,SuperCYP,071320779
Modafinil,2C9,inhibitor,human,SuperCYP,068693118
Modafinil,2C9,inducer,human,SuperCYP,068693118
Modafinil,2C9,inhibitor,human,SuperCYP,068693118
Naproxen,2C9,substrate,human,SuperCYP,022204531
Naproxen,2C9,substrate,human,SuperCYP,022204531
Nateglinide,2C9,substrate,human,SuperCYP,105816044
Nateglinide,2C9,substrate,human,SuperCYP,105816044
Nelfinavir,2C9,inhibitor,human,SuperCYP,159989647
Nelfinavir,2C9,inducer,,SuperCYP,159989647
Nevirapine,2C9,inhibitor,human,SuperCYP,129618402
Nevirapine,2C9,substrate,human,SuperCYP,129618402
Nicardipine,2C9,inhibitor,human,SuperCYP,055985325
Nicardipine,2C9,inhibitor,human,SuperCYP,055985325
Nicardipine,2C9,inducer,human,SuperCYP,055985325
Nicotine,2C9,substrate,human,SuperCYP,000054115
Nifedipine,2C9,inducer,human,SuperCYP,021829254
Nifedipine,2C9,inhibitor,human,SuperCYP,021829254
Nilutamide,2C9,inhibitor,human,SuperCYP,063612500
Nilvadipine,2C9,inhibitor,human,SuperCYP,075530686
Nimesulide,2C9,inhibitor,,SuperCYP,051803782
Nimesulide,2C9,substrate,,SuperCYP,051803782
Noscapine,2C9,inhibitor,,SuperCYP,000128621
Noscapine,2C9,inhibitor,,SuperCYP,000128621
Olanzapine,2C9,inhibitor,human,SuperCYP,132539061
Omeprazole,2C9,substrate,human,SuperCYP,073590586
Omeprazole,2C9,inhibitor,human,SuperCYP,073590586
Omeprazole,2C9,inhibitor,human,SuperCYP,073590586
Ondansetron,2C9,substrate,human,SuperCYP,099614025
Orphenadrine (chloride),2C9,inhibitor,human,SuperCYP,000083987
Orphenadrine (chloride),2C9,inhibitor,human,SuperCYP,000083987
Orphenadrine (chloride),2C9,inhibitor,human,SuperCYP,000083987
Orphenadrine (citrate),2C9,inhibitor,human,SuperCYP,000083987
Orphenadrine (citrate),2C9,inhibitor,human,SuperCYP,000083987
Orphenadrine (citrate),2C9,inhibitor,human,SuperCYP,000083987
Oxaprozin,2C9,substrate,human,SuperCYP,021256188
Paclitaxel,2C9,substrate,human,SuperCYP,033069624
Pancreozymin (cholecystokinin),2C9,inhibitor,human,SuperCYP,009011976
Pantoprazole,2C9,inhibitor,human,SuperCYP,102625707
Paracetamol,2C9,substrate,human,SuperCYP,000103902
Paracetamol,2C9,substrate,human,SuperCYP,000103902
Parecoxib,2C9,inhibitor,human,SuperCYP,198470847
Parecoxib,2C9,inhibitor,human,SuperCYP,198470847
Paroxetine,2C9,inhibitor,human,SuperCYP,061869087
Paroxetine,2C9,inhibitor,human,SuperCYP,061869087
Perazine,2C9,inhibitor,human,SuperCYP,000084979
Perazine,2C9,substrate,human,SuperCYP,000084979
Perazine,2C9,substrate,human,SuperCYP,000084979
Perphenazine,2C9,substrate,human,SuperCYP,000058399
Perphenazine,2C9,substrate,human,SuperCYP,000058399
Phenacetin,2C9,substrate,human,SuperCYP,000062442
Phenazone,2C9,substrate,human,SuperCYP,000060800
Phenazone,2C9,substrate,human,SuperCYP,000060800
Phenobarbital,2C9,inducer,human,SuperCYP,000050066
Phenobarbital,2C9,substrate,human,SuperCYP,000050066
Phenobarbital,2C9,substrate,,SuperCYP,000050066
Phenobarbital,2C9,inducer,human,SuperCYP,000050066
Phenprocoumon,2C9,substrate,human,SuperCYP,000435972
Phenprocoumon,2C9,substrate,human,SuperCYP,000435972
Phentermine,2C9,inhibitor,human,SuperCYP,000122098
Phentermine,2C9,inducer,human,SuperCYP,000122098
Phenylbutazone,2C9,inhibitor,human,SuperCYP,000050339
Phenylbutazone,2C9,substrate,human,SuperCYP,000050339
Phenylbutazone,2C9,inhibitor,human,SuperCYP,000050339
Phenytoin,2C9,inhibitor,human,SuperCYP,000057410
Phenytoin,2C9,substrate,human,SuperCYP,000057410
Phenytoin,2C9,inducer,human,SuperCYP,000057410
Phenytoin,2C9,substrate,,SuperCYP,000057410
Pioglitazone,2C9,inhibitor,human,SuperCYP,111025468
Pioglitazone,2C9,inhibitor,human,SuperCYP,111025468
Pioglitazone,2C9,substrate,human,SuperCYP,111025468
Piroxicam,2C9,substrate,human,SuperCYP,036322904
Piroxicam,2C9,inhibitor,human,SuperCYP,036322904
Piroxicam,2C9,substrate,human,SuperCYP,036322904
Piroxicam,2C9,inhibitor,human,SuperCYP,036322904
Pranlukast,2C9,inhibitor,human,SuperCYP,103177373
Pranlukast,2C9,inhibitor,human,SuperCYP,103177373
Pravastatin,2C9,inhibitor,human,SuperCYP,081093370
Pravastatin,2C9,inhibitor,human,SuperCYP,081093370
Pravastatin,2C9,substrate,human,SuperCYP,081093370
Primidone,2C9,inducer,human,SuperCYP,000125337
Probenecid,2C9,inhibitor,human,SuperCYP,000057669
Progesterone,2C9,inhibitor,human,SuperCYP,000057830
Progesterone,2C9,substrate,human,SuperCYP,000057830
Progesterone,2C9,substrate,human,SuperCYP,000057830
Proguanil,2C9,substrate,human,SuperCYP,000500925
Promethazin,2C9,inhibitor,human,SuperCYP,000060877
Promethazin,2C9,inhibitor,human,SuperCYP,000060877
Promethazine,2C9,inhibitor,human,SuperCYP,000060877
Promethazine,2C9,inhibitor,human,SuperCYP,000060877
Propafenone,2C9,inhibitor,human,SuperCYP,054063535
Propanol,2C9,inhibitor,human,SuperCYP,000071238
Propofol,2C9,inhibitor,human,SuperCYP,002078548
Propofol,2C9,substrate,human,SuperCYP,002078548
Propofol,2C9,substrate,human,SuperCYP,002078548
Pyrimethamine,2C9,inhibitor,human,SuperCYP,000058140
Quazepam,2C9,substrate,human,SuperCYP,036735225
Quazepam,2C9,substrate,human,SuperCYP,036735225
Quinidine,2C9,substrate,human,SuperCYP,000056542
Quinidine,2C9,inhibitor,human,SuperCYP,000056542
Quinidine,2C9,substrate,human,SuperCYP,000056542
Quinidine,2C9,inhibitor,human,SuperCYP,000056542
Quinine,2C9,inhibitor,human,SuperCYP,000130950
Retinol (vit A),2C9,inhibitor,human,SuperCYP,000068268
Rifampicin,2C9,inducer,human,SuperCYP,013292461
Rifampicin,2C9,substrate,human,SuperCYP,013292461
Rifampicin,2C9,inducer,human,SuperCYP,013292461
Rifapentine,2C9,inducer,human,SuperCYP,061379655
Rifapentine,2C9,inducer,human,SuperCYP,061379655
Ritonavir,2C9,inducer,human,SuperCYP,155213675
Ritonavir,2C9,inhibitor,human,SuperCYP,155213675
Ritonavir,2C9,inhibitor,human,SuperCYP,155213675
Ritonavir,2C9,inducer,human,SuperCYP,155213675
Ritonavir,2C9,inhibitor,human,SuperCYP,155213675
Rofecoxib,2C9,substrate,human,SuperCYP,162011907
Rosiglitazone,2C9,substrate,human,SuperCYP,122320734
Rosiglitazone,2C9,inhibitor,human,SuperCYP,122320734
Rosiglitazone,2C9,substrate,,SuperCYP,122320734
Rosiglitazone,2C9,substrate,human,SuperCYP,122320734
Rosuvastatin,2C9,substrate,human,SuperCYP,287714414
Rosuvastatin,2C9,substrate,human,SuperCYP,287714414
Rosuvastatin,2C9,inhibitor,human,SuperCYP,287714414
Rutoside,2C9,inhibitor,human,SuperCYP,000153184
Rutoside,2C9,inhibitor,human,SuperCYP,000153184
Saquinavir,2C9,inhibitor,human,SuperCYP,127779208
Saquinavir,2C9,inhibitor,human,SuperCYP,127779208
Secobarbital,2C9,inducer,human,SuperCYP,000076733
Secobarbital,2C9,inducer,,SuperCYP,000076733
Secobarbital,2C9,inducer,human,SuperCYP,000076733
Selegiline,2C9,inhibitor,human,SuperCYP,014611519
Selegiline,2C9,substrate,human,SuperCYP,014611519
Selegiline,2C9,substrate,human,SuperCYP,014611519
Seratrodast,2C9,inhibitor,human,SuperCYP,112665437
Seratrodast,2C9,substrate,human,SuperCYP,112665437
Seratrodast,2C9,inducer,human,SuperCYP,112665437
Sertraline,2C9,inhibitor,human,SuperCYP,079617962
Sertraline,2C9,substrate,human,SuperCYP,079617962
Sertraline,2C9,inhibitor,human,SuperCYP,079617962
Sertraline,2C9,substrate,human,SuperCYP,079617962
Sildenafil,2C9,substrate,human,SuperCYP,139755832
Sildenafil,2C9,substrate,human,SuperCYP,139755832
Silymarin,2C9,inhibitor,human,SuperCYP,022888706
Simvastatin,2C9,inhibitor,human,SuperCYP,079902639
Sulconazole,2C9,inhibitor,human,SuperCYP,061318909
Sulconazole,2C9,inhibitor,human,SuperCYP,061318909
Sulfadiazine,2C9,inhibitor,human,SuperCYP,000068359
Sulfadiazine,2C9,substrate,human,SuperCYP,000068359
Sulfadiazine,2C9,substrate,human,SuperCYP,000068359
Sulfadimethoxine,2C9,inhibitor,human,SuperCYP,000122112
Sulfadimidine,2C9,inhibitor,human,SuperCYP,000057681
Sulfadimidine,2C9,inhibitor,dwarf goat,SuperCYP,000057681
Sulfafenazol,2C9,inhibitor,human,SuperCYP,000526089
Sulfafenazol,2C9,inhibitor,human,SuperCYP,000526089
Sulfafenazol,2C9,inhibitor,human,SuperCYP,000526089
Sulfafenazol,2C9,inhibitor,human,SuperCYP,000526089
Sulfafurazole,2C9,inhibitor,human,SuperCYP,000127695
Sulfafurazole,2C9,inhibitor,,SuperCYP,000127695
Sulfafurazole,2C9,substrate,,SuperCYP,000127695
Sulfamethizole,2C9,inhibitor,human,SuperCYP,000144821
Sulfamethizole,2C9,inhibitor,human,SuperCYP,000144821
Sulfamethoxazole,2C9,inhibitor,human,SuperCYP,000723466
Sulfamethoxazole,2C9,substrate,human,SuperCYP,000723466
Sulfamethoxazole,2C9,inhibitor,human,SuperCYP,000723466
sulfamethoxazole and trimethoprim,2C9,substrate,,SuperCYP,cid358641
sulfamethoxazole and trimethoprim,2C9,inhibitor,,SuperCYP,cid358641
Sulfamoxole,2C9,inhibitor,human,SuperCYP,000729997
Sulfanilamide,2C9,inhibitor,human,SuperCYP,000063741
Sulfaphenazole,2C9,inhibitor,human,SuperCYP,000526089
Sulfaphenazole,2C9,inhibitor,human,SuperCYP,000526089
Sulfaphenazole,2C9,inhibitor,human,SuperCYP,000526089
Sulfaphenazole,2C9,inhibitor,human,SuperCYP,000526089
Sulfapyridine,2C9,inhibitor,human,SuperCYP,000144832
Sulfapyridine,2C9,inhibitor,human,SuperCYP,000144832
Sulfinpyrazon,2C9,inhibitor,human,SuperCYP,000057965
Sulfinpyrazon,2C9,substrate,human,SuperCYP,000057965
Sulfinpyrazon,2C9,inhibitor,human,SuperCYP,000057965
Sulfinpyrazone,2C9,inhibitor,human,SuperCYP,000057965
Sulfinpyrazone,2C9,substrate,human,SuperCYP,000057965
Sulfinpyrazone,2C9,inhibitor,human,SuperCYP,000057965
Suprofen,2C9,inhibitor,human,SuperCYP,040828464
Suprofen,2C9,substrate,human,SuperCYP,040828464
Suprofen,2C9,substrate,human,SuperCYP,040828464
Tamoxifen,2C9,inhibitor,human,SuperCYP,010540291
Tamoxifen,2C9,substrate,human,SuperCYP,010540291
Tamoxifen,2C9,substrate,,SuperCYP,010540291
Tamoxifen,2C9,inhibitor,human,SuperCYP,010540291
Tegaserod,2C9,inhibitor,human,SuperCYP,145158710
Telmisartan,2C9,inhibitor,,SuperCYP,144701484
Temazepam,2C9,substrate,human,SuperCYP,000846504
Temazepam,2C9,substrate,human,SuperCYP,000846504
Teniposide,2C9,inhibitor,human,SuperCYP,029767202
Teniposide,2C9,inhibitor,human,SuperCYP,029767202
Tenofovir disoproxil,2C9,inhibitor,human,SuperCYP,201341051
Tenoxicam,2C9,substrate,human,SuperCYP,059804374
Tenoxicam,2C9,substrate,human,SuperCYP,059804374
Terbinafine,2C9,substrate,human,SuperCYP,091161716
Terbinafine,2C9,substrate,human,SuperCYP,091161716
Terfenadine,2C9,substrate,human,SuperCYP,050679088
Testosterone,2C9,substrate,human,SuperCYP,000057852
Testosterone,2C9,substrate,human,SuperCYP,000057852
Tetrabenazine,2C9,inducer,rat,SuperCYP,000058468
Thalidomide,2C9,substrate,human,SuperCYP,000050351
Theophylline,2C9,substrate,human,SuperCYP,000058559
Thiamazole,2C9,inhibitor,human,SuperCYP,000060560
Thiamazole,2C9,inhibitor,human,SuperCYP,000060560
Thioridazine,2C9,inhibitor,human,SuperCYP,000050522
Tibolone,2C9,inhibitor,human,SuperCYP,005630535
Ticlopidine,2C9,inhibitor,human,SuperCYP,055142853
Ticlopidine,2C9,inhibitor,human,SuperCYP,055142853
Tienilic acid,2C9,inducer,,SuperCYP,040180049
Tienilic acid,2C9,substrate,,SuperCYP,040180049
Tioconazole,2C9,inhibitor,human,SuperCYP,065899732
Tolbutamide,2C9,inhibitor,human,SuperCYP,000064777
Tolbutamide,2C9,substrate,human,SuperCYP,000064777
Tolbutamide,2C9,inhibitor,human,SuperCYP,000064777
Tolbutamide,2C9,substrate,human,SuperCYP,000064777
Tolbutamide,2C9,substrate,human,SuperCYP,000064777
Tolcapone,2C9,inhibitor,human,SuperCYP,134308137
Tolcapone,2C9,inhibitor,human,SuperCYP,134308137
Tolterodine,2C9,substrate,human,SuperCYP,124937515
Tolterodine,2C9,substrate,human,SuperCYP,124937515
Torasemide,2C9,substrate,human,SuperCYP,056211406
Torasemide,2C9,substrate,human,SuperCYP,056211406
Trabectedin,2C9,substrate,human,SuperCYP,114899773
Trabectedin,2C9,substrate,human,SuperCYP,114899773
Tranylcypromine,2C9,inhibitor,human,SuperCYP,000155099
Tranylcypromine,2C9,inhibitor,human,SuperCYP,000155099
Tretinoin,2C9,inhibitor,,SuperCYP,000302794
Tretinoin,2C9,substrate,,SuperCYP,000302794
Triazolam,2C9,inhibitor,human,SuperCYP,028911015
Trimethadione,2C9,substrate,human,SuperCYP,000127480
Trimethadione,2C9,substrate,human,SuperCYP,000127480
Trimethoprim,2C9,inhibitor,human,SuperCYP,000738705
Trimethoprim,2C9,substrate,human,SuperCYP,000738705
Trimethoprim,2C9,substrate,human,SuperCYP,000738705
Trimethoprim,2C9,inhibitor,human,SuperCYP,000738705
Trimipramine,2C9,substrate,human,SuperCYP,000739719
Troglitazone,2C9,inhibitor,human,SuperCYP,097322877
Troglitazone,2C9,substrate,human,SuperCYP,097322877
Tropisetron,2C9,substrate,human,SuperCYP,089565684
Trospium,2C9,inhibitor,,SuperCYP,010405024
Valdecoxib,2C9,substrate,human,SuperCYP,181695727
Valdecoxib,2C9,inhibitor,human,SuperCYP,181695727
Valdecoxib,2C9,inhibitor,human,SuperCYP,181695727
Valproic acid,2C9,substrate,human,SuperCYP,000099661
Valproic acid,2C9,inhibitor,human,SuperCYP,000099661
Valsartan,2C9,inhibitor,human,SuperCYP,137862534
Valsartan,2C9,substrate,human,SuperCYP,137862534
Valsartan,2C9,substrate,human,SuperCYP,137862534
Venlafaxine,2C9,substrate,human,SuperCYP,093413695
Venlafaxine,2C9,substrate,human,SuperCYP,093413695
Verapamil,2C9,inhibitor,human,SuperCYP,000052539
Verapamil,2C9,substrate,human,SuperCYP,000052539
Verapamil,2C9,substrate,human,SuperCYP,000052539
Voriconazole,2C9,substrate,human,SuperCYP,137234629
Voriconazole,2C9,inhibitor,human,SuperCYP,137234629
Voriconazole,2C9,substrate,human,SuperCYP,137234629
Warfarin,2C9,inhibitor,human,SuperCYP,000081812
Warfarin,2C9,substrate,human,SuperCYP,000081812
Warfarin,2C9,inhibitor,human,SuperCYP,000081812
Warfarin,2C9,substrate,human,SuperCYP,000081812
Warfarin,2C9,substrate,human,SuperCYP,000081812
Warfarin,2C9,substrate,human,SuperCYP,000081812
Ximelagatran,2C9,substrate,human,SuperCYP,192939461
Zafirlukast,2C9,inhibitor,human,SuperCYP,107753786
Zafirlukast,2C9,substrate,human,SuperCYP,107753786
Zafirlukast,2C9,inhibitor,human,SuperCYP,107753786
Zafirlukast,2C9,substrate,human,SuperCYP,107753786
Zafirlukast,2C9,inhibitor,human,SuperCYP,107753786
Zalcitabine,2C9,substrate,human,SuperCYP,007481892
Zidovudine,2C9,substrate,human,SuperCYP,030516871
Zidovudine,2C9,substrate,human,SuperCYP,030516871
Zolpidem,2C9,inhibitor,human,SuperCYP,082626480
Zolpidem,2C9,substrate,human,SuperCYP,082626480
Zolpidem,2C9,substrate,human,SuperCYP,082626480
Zopiclone,2C9,substrate,human,SuperCYP,043200802
Zopiclone,2C9,substrate,human,SuperCYP,043200802
Ergocalciferol,2C11,substrate,human,SuperCYP,000050146
Aminophenazone,C18,substrate,human,SuperCYP,000058151
Aminophenazone,2C18,substrate,human,SuperCYP,000058151
Buprenorphine,2C18,substrate,human,SuperCYP,052485797
Clobazam,2C18,substrate,human,SuperCYP,022316478
Clotiazepam,2C18,substrate,human,SuperCYP,033671464
Cyclophosphamide,2C18,substrate,human,SuperCYP,000050180
Dapsone,2C18,substrate,human,SuperCYP,000080080
Dexamethason,2C18,inducer,,SuperCYP,000050022
Dexamethasone,2C18,inducer,,SuperCYP,000050022
Diazepam,2C18,substrate,human,SuperCYP,000439145
Diclofenac,2C18,substrate,human,SuperCYP,015307865
Fluconazole,2C18,inhibitor,human,SuperCYP,086386734
Ifosfamide,2C18,substrate,human,SuperCYP,003778732
Imipramine,2C18,substrate,human,SuperCYP,000050497
Lansoprazole,2C18,substrate,human,SuperCYP,103577453
Lidocain,2C18,substrate,human,SuperCYP,000137586
Lidocaine,2C18,substrate,human,SuperCYP,000137586
Mephenytoin,2C18,substrate,human,SuperCYP,000050124
Methadone,2C18,substrate,human,SuperCYP,000076993
Omeprazole,2C18,substrate,human,SuperCYP,073590586
Perphenazine,2C18,substrate,human,SuperCYP,000058399
Phenazone,2C18,substrate,human,SuperCYP,000060800
Phenobarbital,2C18,inducer,,SuperCYP,000050066
Phenytoin,2C18,inducer,human,SuperCYP,000057410
Phenytoin,2C18,substrate,human,SuperCYP,000057410
Propofol,2C18,substrate,human,SuperCYP,002078548
Rifampicin,2C18,inducer,,SuperCYP,013292461
Thalidomide,2C18,substrate,human,SuperCYP,000050351
Tolbutamide,2C18,substrate,human,SuperCYP,000064777
Troleandomycin,2C18,inhibitor,human,SuperCYP,002751099
Valproic acid,2C18,inhibitor,human,SuperCYP,000099661
Warfarin,2C18,substrate,human,SuperCYP,000081812
2-(4-chlorphenoxy)-ethanol,2C19,inhibitor,human,SuperCYP,000064175
Acetylsalicylic acid,2C19,inducer,human,SuperCYP,000050782
Acetylsalicylic acid,2C19,inducer,human,SuperCYP,000050782
Adinazolam,2C19,substrate,human,SuperCYP,037115325
Adinazolam,2C19,substrate,human,SuperCYP,037115325
Aminogluthetimide,2C19,inducer,human,SuperCYP,000125848
Aminophenazone,2C19,substrate,human,SuperCYP,000058151
Aminophenazone,2C19,inhibitor,human,SuperCYP,000058151
Amiodarone,2C19,substrate,human,SuperCYP,001951253
Amitriptyline,2C19,substrate,human,SuperCYP,000050486
Amitriptyline,2C19,inhibitor,human,SuperCYP,000050486
Amitriptyline,2C19,substrate,human,SuperCYP,000050486
Amoxicillin,2C19,substrate,human,SuperCYP,026787780
Amprenavir,2C19,inhibitor,human,SuperCYP,161814499
Amprenavir,2C19,inhibitor,human,SuperCYP,161814499
Aprepitant,2C19,inhibitor,human,SuperCYP,170729803
Aprepitant,2C19,inhibitor,human,SuperCYP,170729803
Aprepitant,2C19,substrate,human,SuperCYP,170729803
Artemether,2C19,substrate,human,SuperCYP,071939510
Artemisinin,2C19,inducer,human,SuperCYP,063968649
Artemisinin,2C19,inducer,human,SuperCYP,063968649
Atomoxetine,2C19,substrate,human,SuperCYP,083015263
Azelastine,2C19,inhibitor,human,SuperCYP,058581898
Azelastine,2C19,substrate,human,SuperCYP,058581898
Azelastine,2C19,substrate,human,SuperCYP,058581898
Azelastine,2C19,inhibitor,human,SuperCYP,058581898
Barnidipine,2C19,inhibitor,human,SuperCYP,104713759
Barnidipine,2C19,inhibitor,human,SuperCYP,104713759
Benidipine,2C19,inhibitor,human,SuperCYP,105979177
Benidipine,2C19,inhibitor,human,SuperCYP,105979177
Benzatropine,2C19,substrate,human,SuperCYP,000086135
Benzethonium,2C19,substrate,human,SuperCYP,000121540
Benzydamine,2C19,substrate,human,SuperCYP,000642728
