Drug,CYP***,Action,Species,Database,DrugID,Gene,Reference,Strength
Zolpidem ,CYP1A2,substrate ,human ,SuperCYP,,,,
Zotepine ,CYP1A2,substrate ,human ,SuperCYP,,,,
Zotepine ,CYP1A2,substrate ,human ,SuperCYP,,,,
amitriptyline,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
caffeine2,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
clomipramine,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
clozapine,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
cyclobenzaprine,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
duloxetine,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
estradiol,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
fluvoxamine,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
haloperidol,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
imipramineN-DeMe,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
mexiletine,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
nabumetone,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
naproxen,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
olanzapine,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
ondansetron,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
phenacetin1?,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
acetaminophen,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
?NAPQI,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
propranolol,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
riluzole,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
ropivacaine,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
tacrine2,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
theophylline2,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
tizanidine,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
triamterene,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
verapamil,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
(R)Warfarin,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
zileuton,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
zolmitriptan,CYP1A2,substrate,NotSpecified,IndianaUniversity,,,,
fluvoxamine,CYP1A2,inhibitor,NotSpecified,IndianaUniversity,,,,
ciprofloxacin,CYP1A2,inhibitor,NotSpecified,IndianaUniversity,,,,Strong
cimetidine,CYP1A2,inhibitor,NotSpecified,IndianaUniversity,,,,Weak
amiodarone,CYP1A2,inhibitor,NotSpecified,IndianaUniversity,,,,
efavirenz,CYP1A2,inhibitor,NotSpecified,IndianaUniversity,,,,
fluoroquinolones,CYP1A2,inhibitor,NotSpecified,IndianaUniversity,,,,
fluvoxamine,CYP1A2,inhibitor,NotSpecified,IndianaUniversity,,,,
furafylline1,CYP1A2,inhibitor,NotSpecified,IndianaUniversity,,,,
interferon,CYP1A2,inhibitor,NotSpecified,IndianaUniversity,,,,
methoxsalen,CYP1A2,inhibitor,NotSpecified,IndianaUniversity,,,,
mibefradil,CYP1A2,inhibitor,NotSpecified,IndianaUniversity,,,,
ticlopidine,CYP1A2,inhibitor,NotSpecified,IndianaUniversity,,,,
broccoli,CYP1A2,inducer,NotSpecified,IndianaUniversity,,,,
brusselsprouts,CYP1A2,inducer,NotSpecified,IndianaUniversity,,,,
carbamazepine,CYP1A2,inducer,NotSpecified,IndianaUniversity,,,,
char-grilledmeat,CYP1A2,inducer,NotSpecified,IndianaUniversity,,,,
insulin,CYP1A2,inducer,NotSpecified,IndianaUniversity,,,,
methylcholanthrene1,CYP1A2,inducer,NotSpecified,IndianaUniversity,,,,
modafinil,CYP1A2,inducer,NotSpecified,IndianaUniversity,,,,
nafcillin,CYP1A2,inducer,NotSpecified,IndianaUniversity,,,,
beta-naphthoflavone1,CYP1A2,inducer,NotSpecified,IndianaUniversity,,,,
omeprazole1,CYP1A2,inducer,NotSpecified,IndianaUniversity,,,,
rifampin,CYP1A2,inducer,NotSpecified,IndianaUniversity,,,,
tobacco,CYP1A2,inducer,NotSpecified,IndianaUniversity,,,,
Acyclovir,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Acyclovirsodium,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Allopurinol,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Allopurinolsodium,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Amiodarone,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Amiodaronehydrochloride,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Anastrozole,CYP1A2,inhibitor,NotSpecified,KEGG,,,,
Caffeine,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Caffeine hydrate,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Caffeinecitrate,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Cimetidine,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Cimetidinehydrochloride,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Ciprofloxacin,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Strong
Ciprofloxacinhydrochloride,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Strong
Ciprofloxacinlactate,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Strong
Clinafloxacinhydrochloride,CYP1A2,inhibitor,NotSpecified,KEGG,,,,
Daidzein,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Deferasirox,CYP1A2,inhibitor,NotSpecified,KEGG,,,,
Disulfiram,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Echinacea,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Enoxacin,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Strong
Enoxacinhydrate,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Strong
Etintidinehydrochloride,CYP1A2,inhibitor,NotSpecified,KEGG,,,,
Famotidine,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Fluvoxamine,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Strong
Fluvoxaminemaleate,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Strong
Grepafloxacin,CYP1A2,inhibitor,NotSpecified,KEGG,,,,
Grepafloxacinhydrochloride,CYP1A2,inhibitor,NotSpecified,KEGG,,,,
Idrocilamide,CYP1A2,inhibitor,NotSpecified,KEGG,,,,
Methoxsalen,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Moderate
Mexiletine,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Moderate
Mexiletinehydrochloride,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Moderate
Mibefradil,CYP1A2,inhibitor,NotSpecified,KEGG,,,,
Mibefradildihydrochloride,CYP1A2,inhibitor,NotSpecified,KEGG,,,,
Norfloxacin,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Norfloxacinnicotinate,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Pefloxacin,CYP1A2,inhibitor,NotSpecified,KEGG,,,,
Pefloxacinmesylate,CYP1A2,inhibitor,NotSpecified,KEGG,,,,
Peginterferonalfa-2a,CYP1A2,inhibitor,NotSpecified,KEGG,,,,
Phenylpropanolamine,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Moderate
Phenylpropanolaminehydrochloride,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Moderate
Phenylpropanolaminepolistirex,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Moderate
Pipemidicacid,CYP1A2,inhibitor,NotSpecified,KEGG,,,,
Pipemidicacidhydrate,CYP1A2,inhibitor,NotSpecified,KEGG,,,,
Piperine,CYP1A2,inhibitor,NotSpecified,KEGG,,,,
Propafenone,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Propafenonehydrochloride,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Propranolol,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Propranololhydrochloride,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Rofecoxib,CYP1A2,inhibitor,NotSpecified,KEGG,,,,
Stiripentol,CYP1A2,inhibitor,NotSpecified,KEGG,,,,
Terbinafine,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Terbinafinehydrochloride,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Thiabendazole,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Moderate
Ticlopidine,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Ticlopidinehydrochloride,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Vemurafenib,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Moderate
Verapamil,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Verapamilhydrochloride,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Weak
Viloxazine,CYP1A2,inhibitor,NotSpecified,KEGG,,,,
Viloxazinehydrochloride,CYP1A2,inhibitor,NotSpecified,KEGG,,,,
Zafirlukast,CYP1A2,inhibitor,NotSpecified,KEGG,,,,
Zileuton,CYP1A2,inhibitor,NotSpecified,KEGG,,,,Moderate
Armodafinil,CYP1A2,inducer,NotSpecified,KEGG,,,,
Dexlansoprazole,CYP1A2,inducer,NotSpecified,KEGG,,,,
Esomeprazole,CYP1A2,inducer,NotSpecified,KEGG,,,,
Esomeprazolemagnesium,CYP1A2,inducer,NotSpecified,KEGG,,,,
Esomeprazolesodium,CYP1A2,inducer,NotSpecified,KEGG,,,,
Esomeprazolepotassium,CYP1A2,inducer,NotSpecified,KEGG,,,,
Esomeprazolestrontium,CYP1A2,inducer,NotSpecified,KEGG,,,,
Insulin,CYP1A2,inducer,NotSpecified,KEGG,,,,
"Insulinhumanisophane""",CYP1A2,inducer,NotSpecified,KEGG,,,,
Insulinhumanzinc,CYP1A2,inducer,NotSpecified,KEGG,,,,
"Insulinhumanzincextended""",CYP1A2,inducer,NotSpecified,KEGG,,,,
"Insulinisophane""",CYP1A2,inducer,NotSpecified,KEGG,,,,
"Insulinzincextended""",CYP1A2,inducer,NotSpecified,KEGG,,,,
"Insulinzincprompt""",CYP1A2,inducer,NotSpecified,KEGG,,,,
Insulinzinc,CYP1A2,inducer,NotSpecified,KEGG,,,,
Proinsulinhuman,CYP1A2,inducer,NotSpecified,KEGG,,,,
"Insulininjectionbiphasicisophane""",CYP1A2,inducer,NotSpecified,KEGG,,,,
Insulinhuman,CYP1A2,inducer,NotSpecified,KEGG,,,,
"Insulinneutral""",CYP1A2,inducer,NotSpecified,KEGG,,,,
Insulinlispro,CYP1A2,inducer,NotSpecified,KEGG,,,,
Insulinaspart,CYP1A2,inducer,NotSpecified,KEGG,,,,
Insulinglulisine,CYP1A2,inducer,NotSpecified,KEGG,,,,
Insulinglargine,CYP1A2,inducer,NotSpecified,KEGG,,,,
Insulindetemir,CYP1A2,inducer,NotSpecified,KEGG,,,,
Lansoprazole,CYP1A2,inducer,NotSpecified,KEGG,,,,
Modafinil,CYP1A2,inducer,NotSpecified,KEGG,,,,
Montelukast,CYP1A2,inducer,NotSpecified,KEGG,,,,Moderate
Montelukastsodium,CYP1A2,inducer,NotSpecified,KEGG,,,,Moderate
Moricizine,CYP1A2,inducer,NotSpecified,KEGG,,,,Weak
Moricizinehydrochloride,CYP1A2,inducer,NotSpecified,KEGG,,,,Weak
Nafcillin,CYP1A2,inducer,NotSpecified,KEGG,,,,
Nafcillinsodium,CYP1A2,inducer,NotSpecified,KEGG,,,,
Omeprazole,CYP1A2,inducer,NotSpecified,KEGG,,,,Weak
Omeprazolesodium,CYP1A2,inducer,NotSpecified,KEGG,,,,Weak
Omeprazolemagnesium,CYP1A2,inducer,NotSpecified,KEGG,,,,Weak
Omeprazolesodiuminjection,CYP1A2,inducer,NotSpecified,KEGG,,,,Weak
Phenobarbital,CYP1A2,inducer,NotSpecified,KEGG,,,,Weak
Phenobarbitalsodium,CYP1A2,inducer,NotSpecified,KEGG,,,,Weak
Phenobarbitaldiethylamine,CYP1A2,inducer,NotSpecified,KEGG,,,,Weak
Phenytoin,CYP1A2,inducer,NotSpecified,KEGG,,,,Moderate
Phenytoinsodium,CYP1A2,inducer,NotSpecified,KEGG,,,,Moderate
Zileuton,CYP1A2,inducer,NotSpecified,KEGG,,,,
Adrenaline-lidocainehydrochloridemixt,CYP1A2,substrate,NotSpecified,KEGG,,,,
Alosetron,CYP1A2,substrate,NotSpecified,KEGG,,,,Sensitive
Alosetronhydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,Sensitive
Amiodarone,CYP1A2,substrate,NotSpecified,KEGG,,,,
Amiodaronehydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Aminophyllinehydrate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Amitriptyline,CYP1A2,substrate,NotSpecified,KEGG,,,,
Amitriptylinehydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Amoxapine,CYP1A2,substrate,NotSpecified,KEGG,,,,
Armodafinil,CYP1A2,substrate,NotSpecified,KEGG,,,,
Antipyrine,CYP1A2,substrate,NotSpecified,KEGG,,,,
Bortezomib,CYP1A2,substrate,NotSpecified,KEGG,,,,
Caffeine,CYP1A2,substrate,NotSpecified,KEGG,,,,Sensitive
Caffeine hydrate,CYP1A2,substrate,NotSpecified,KEGG,,,,Sensitive
Caffeinecitrate,CYP1A2,substrate,NotSpecified,KEGG,,,,Sensitive
Carvedilol,CYP1A2,substrate,NotSpecified,KEGG,,,,
Carvedilolphosphate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Chlorzoxazone,CYP1A2,substrate,NotSpecified,KEGG,,,,
Oxtriphylline,CYP1A2,substrate,NotSpecified,KEGG,,,,
Cimetidine,CYP1A2,substrate,NotSpecified,KEGG,,,,
Cimetidinehydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Ciprofloxacin,CYP1A2,substrate,NotSpecified,KEGG,,,,
Ciprofloxacinhydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Ciprofloxacinlactate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Clomipramine,CYP1A2,substrate,NotSpecified,KEGG,,,,
Clomipraminehydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Clopidogrel,CYP1A2,substrate,NotSpecified,KEGG,,,,
Clopidogrelbisulfate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Clozapine,CYP1A2,substrate,NotSpecified,KEGG,,,,
Cyclobenzaprine,CYP1A2,substrate,NotSpecified,KEGG,,,,
Cyclobenzaprine hydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Dantrolene,CYP1A2,substrate,NotSpecified,KEGG,,,,
Dantrolenesodium,CYP1A2,substrate,NotSpecified,KEGG,,,,
Dexpropranololhydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Duloxetine,CYP1A2,substrate,NotSpecified,KEGG,,,,Sensitive
Duloxetinehydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,Sensitive
Eltrombopagolamine,CYP1A2,substrate,NotSpecified,KEGG,,,,
Enoxacin,CYP1A2,substrate,NotSpecified,KEGG,,,,
Enoxacinhydrate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Erlotinibhydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Erlotinib,CYP1A2,substrate,NotSpecified,KEGG,,,,
Estradiol,CYP1A2,substrate,NotSpecified,KEGG,,,,
Estradiolvalerate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Estradioldipropionate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Estradiolbenzoate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Estradiolacetate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Estradiolcypionate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Estradiolenanthate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Estradiolundecylate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Estradiolhemihydrate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Estradiol17beta-hemisuccinate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Fluvoxamine,CYP1A2,substrate,NotSpecified,KEGG,,,,
Fluvoxaminemaleate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Fosamprenavir,CYP1A2,substrate,NotSpecified,KEGG,,,,
Fosamprenavircalciumhydrate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Fosamprenavircalcium,CYP1A2,substrate,NotSpecified,KEGG,,,,
Fosamprenavirsodium,CYP1A2,substrate,NotSpecified,KEGG,,,,
Haloperidol,CYP1A2,substrate,NotSpecified,KEGG,,,,
Haloperidoldecanoate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Haloperidollactate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Imipraminehydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Levobupivacainehydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Lidocaine,CYP1A2,substrate,NotSpecified,KEGG,,,,
Lidocainehydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Lidocainehydrochloridemonohydrate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Melatonin,CYP1A2,substrate,NotSpecified,KEGG,,,,Sensitive
Methoxsalen,CYP1A2,substrate,NotSpecified,KEGG,,,,
Mexiletine,CYP1A2,substrate,NotSpecified,KEGG,,,,
Mexiletinehydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Mianserin,CYP1A2,substrate,NotSpecified,KEGG,,,,
Mianserin hydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Mirtazapine,CYP1A2,substrate,NotSpecified,KEGG,,,,
Modafinil,CYP1A2,substrate,NotSpecified,KEGG,,,,
Naproxen,CYP1A2,substrate,NotSpecified,KEGG,,,,
Naproxensodium,CYP1A2,substrate,NotSpecified,KEGG,,,,
Naproxenetemesil,CYP1A2,substrate,NotSpecified,KEGG,,,,
Naratriptan,CYP1A2,substrate,NotSpecified,KEGG,,,,
Naratriptanhydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Nicotine,CYP1A2,substrate,NotSpecified,KEGG,,,,
Norfloxacin,CYP1A2,substrate,NotSpecified,KEGG,,,,
Norfloxacinnicotinate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Olanzapine,CYP1A2,substrate,NotSpecified,KEGG,,,,
Olanzapinepamoate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Ondansetron,CYP1A2,substrate,NotSpecified,KEGG,,,,
Ondansetronhydrochloridehydrate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Palonosetron,CYP1A2,substrate,NotSpecified,KEGG,,,,
Palonosetronhydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Acetaminophen,CYP1A2,substrate,NotSpecified,KEGG,,,,
Phenacetin,CYP1A2,substrate,NotSpecified,KEGG,,,,
Pimozide,CYP1A2,substrate,NotSpecified,KEGG,,,,
Pirfenidone,CYP1A2,substrate,NotSpecified,KEGG,,,,
Propafenone,CYP1A2,substrate,NotSpecified,KEGG,,,,
Propafenonehydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Propranolol,CYP1A2,substrate,NotSpecified,KEGG,,,,
Propranololhydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Ramelteon,CYP1A2,substrate,NotSpecified,KEGG,,,,Sensitive
Ramosetron,CYP1A2,substrate,NotSpecified,KEGG,,,,
Ramosetronhydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Riluzole,CYP1A2,substrate,NotSpecified,KEGG,,,,
Ropinirole,CYP1A2,substrate,NotSpecified,KEGG,,,,
Ropinirolehydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Ropivacaine,CYP1A2,substrate,NotSpecified,KEGG,,,,
Ropivacainehydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Tacrine,CYP1A2,substrate,NotSpecified,KEGG,,,,Sensitive
Tacrine hydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,Sensitive
Tamoxifen,CYP1A2,substrate,NotSpecified,KEGG,,,,
Tamoxifencitrate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Theophylline,CYP1A2,substrate,NotSpecified,KEGG,,,,Narrow
Theophyllinesodiumacetate,CYP1A2,substrate,NotSpecified,KEGG,,,,Narrow
Theophylline,CYP1A2,substrate,NotSpecified,KEGG,,,,Narrow
Theophyllinesodiumglycinate,CYP1A2,substrate,NotSpecified,KEGG,,,,Narrow
Terbinafine,CYP1A2,substrate,NotSpecified,KEGG,,,,
Terbinafinehydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Tizanidine,CYP1A2,substrate,NotSpecified,KEGG,,,,Narrow&Sensitive
Tizanidinehydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,Narrow&Sensitive
Sarpogrelate,CYP1A2,substrate,NotSpecified,KEGG,,,,
Sarpogrelatehydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Stiripentol,CYP1A2,substrate,NotSpecified,KEGG,,,,
Verapamil,CYP1A2,substrate,NotSpecified,KEGG,,,,
Verapamilhydrochloride,CYP1A2,substrate,NotSpecified,KEGG,,,,
Warfarin,CYP1A2,substrate,NotSpecified,KEGG,,,,
Warfarin sodium,CYP1A2,substrate,NotSpecified,KEGG,,,,
Warfarin potassium,CYP1A2,substrate,NotSpecified,KEGG,,,,
Zileuton,CYP1A2,substrate,NotSpecified,KEGG,,,,
Zolmitriptan,CYP1A2,substrate,NotSpecified,KEGG,,,,
Zolpidem,CYP1A2,substrate,NotSpecified,KEGG,,,,
Zolpidemtartrate,CYP1A2,substrate,NotSpecified,KEGG,,,,
acetaminophen,CYP1A2,Substrate,NotSpecified,ildcare,,,,
amitriptyline,CYP1A2,Substrate,NotSpecified,ildcare,,,,
caffeine,CYP1A2,Substrate,NotSpecified,ildcare,,,,
chlordiazepoxide,CYP1A2,Substrate,NotSpecified,ildcare,,,,
clomipramine,CYP1A2,Substrate,NotSpecified,ildcare,,,,
clopidogrel,CYP1A2,Substrate,NotSpecified,ildcare,,,,
clozapine,CYP1A2,Substrate,NotSpecified,ildcare,,,,
cyclobenzaprine,CYP1A2,Substrate,NotSpecified,ildcare,,,,
desipramine,CYP1A2,Substrate,NotSpecified,ildcare,,,,
diazepam,CYP1A2,Substrate,NotSpecified,ildcare,,,,
estradiol,CYP1A2,Substrate,NotSpecified,ildcare,,,,
flutamide,CYP1A2,Substrate,NotSpecified,ildcare,,,,
fluvoxamine,CYP1A2,Substrate,NotSpecified,ildcare,,,,
haloperidol,CYP1A2,Substrate,NotSpecified,ildcare,,,,
imipramine,CYP1A2,Substrate,NotSpecified,ildcare,,,,
levobupivacaine,CYP1A2,Substrate,NotSpecified,ildcare,,,,
mexiletine,CYP1A2,Substrate,NotSpecified,ildcare,,,,
mirtazapine,CYP1A2,Substrate,NotSpecified,ildcare,,,,
naproxen,CYP1A2,Substrate,NotSpecified,ildcare,,,,
nortriptyline,CYP1A2,Substrate,NotSpecified,ildcare,,,,
olanzapine,CYP1A2,Substrate,NotSpecified,ildcare,,,,
ondansetron,CYP1A2,Substrate,NotSpecified,ildcare,,,,
propafenone,CYP1A2,Substrate,NotSpecified,ildcare,,,,
propranolol,CYP1A2,Substrate,NotSpecified,ildcare,,,,
riluzole,CYP1A2,Substrate,NotSpecified,ildcare,,,,
ropinirole,CYP1A2,Substrate,NotSpecified,ildcare,,,,
ropivacaine,CYP1A2,Substrate,NotSpecified,ildcare,,,,
tacrine,CYP1A2,Substrate,NotSpecified,ildcare,,,,
theophylline,CYP1A2,Substrate,NotSpecified,ildcare,,,,
verapamil,CYP1A2,Substrate,NotSpecified,ildcare,,,,
(R)-Warfarin,CYP1A2,Substrate,NotSpecified,ildcare,,,,
zileuton,CYP1A2,Substrate,NotSpecified,ildcare,,,,
amiodarone,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
cimetidine,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
ciprofloxacin,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
citalopram,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
clarithromycin,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
diltiazem,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
enoxacin,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
erythromycin,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
ethinylestradiol,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
fluvoxamine,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
isoniazid,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
ketoconazole,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
methoxsalen,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
mexiletine,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
nalidixicacid,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
norethindrone,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
norfloxacin,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
omeprazole,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
oralcontraceptives,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
paroxetine,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
tacrine,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
ticlopidine,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
troleandomycin,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
zileuton,CYP1A2,Inhibitor,NotSpecified,ildcare,,,,
carbamazepine,CYP1A2,Inducer,NotSpecified,ildcare,,,,
charbroiledfood,CYP1A2,Inducer,NotSpecified,ildcare,,,,
lansoprazole,CYP1A2,Inducer,NotSpecified,ildcare,,,,
omeprazole,CYP1A2,Inducer,NotSpecified,ildcare,,,,
phenobarbital,CYP1A2,Inducer,NotSpecified,ildcare,,,,
phenytoin,CYP1A2,Inducer,NotSpecified,ildcare,,,,
primidone,CYP1A2,Inducer,NotSpecified,ildcare,,,,
rifampin,CYP1A2,Inducer,NotSpecified,ildcare,,,,
ritonavir,CYP1A2,Inducer,NotSpecified,ildcare,,,,
smoking,CYP1A2,Inducer,NotSpecified,ildcare,,,,
StJohn'swort,CYP1A2,Inducer,NotSpecified,ildcare,,,,
Fluconazole,CYP11B1,inhibitor,NotSpecified,DrugBank,DB00196,,,
Phenytoin,CYP11B1,inhibitor,NotSpecified,DrugBank,DB00252,,,
Clotrimazole,CYP11B1,inhibitor,NotSpecified,DrugBank,DB00257,,,
Etomidate,CYP11B1,inhibitor,NotSpecified,DrugBank,DB00292,,,
Spironolactone,CYP11B1,"inhibitor,inducer",NotSpecified,DrugBank,DB00421,,,
Cimetidine,CYP11B1,inhibitor,NotSpecified,DrugBank,DB00501,,,
Mitotane,CYP11B1,inducer,NotSpecified,DrugBank,DB00648,,,
Hydrocortisone,CYP11B1,substrate,NotSpecified,DrugBank,DB00741,,,
Metyrapone,CYP11B1,inhibitor,NotSpecified,DrugBank,DB01011,,,
Metyrapone,CYP11B1,inhibitor,NotSpecified,DrugBank,DB01011,,,
Ketoconazole,CYP11B1,inhibitor,NotSpecified,DrugBank,DB01026,,,
Miconazole,CYP11B1,inhibitor,NotSpecified,DrugBank,DB01110,,,
Metoclopramide,CYP11B1,inhibitor,NotSpecified,DrugBank,DB01233,,,
