Drug,Enzyme,Action,Database,Species,DrugID,Gene,Reference,Strength
Carbamazepine,CYP3A4,substrate,KEGG, Not Specified,,,, 
carbamazepine,CYP3A4,substrate,ildcare,Not Specified,,,,
carbamazepine,CYP3A4,Inducer,ildcare,Not Specified,,,,
Carbamazepine,CYP3A5,inducer,DrugBank,Not Specified,DB00564,,,
carbamazepine,CYP3A5,substrate,Indiana University,Not Specified,,,,
carbamazepine,CYP3A5,inducer,Indiana University,Not Specified,,,,
Carbamazepine,CYP3A5, inducer,KEGG, Not Specified,,,, 
Carbamazepine,CYP3A7,substrate,DrugBank,Not Specified,DB00564,,,
carbamazepine,CYP3A7,substrate,Indiana University,Not Specified,,,,
carbamazepine,CYP3A7,inducer,Indiana University,Not Specified,,,,
Carbamazepine,CYP3A7, inducer,KEGG, Not Specified,,,, 
Carbamazepine,CYP2C19,inhibitor,KEGG, Not Specified,,,, Weak
Carbamazepine,CYP2C9, inducer,KEGG, Not Specified,,,, Moderate
Carbamazepine,CYP2C19, inducer,KEGG, Not Specified,,,, 
Carbamazepine,CYP3A4, inducer,KEGG, Not Specified,,,, 
Carbamazepine,CYP3A5, inducer,KEGG, Not Specified,,,, 
Carbamazepine,CYP3A7, inducer,KEGG, Not Specified,,,, 
Carbamazepine,CYP3A, inducer,KEGG, Not Specified,,,, Strong
Carbamazepine,CYP2B6,substrate,KEGG, Not Specified,,,, 
Carbamazepine,CYP2C8,substrate,KEGG, Not Specified,,,, 
Carbamazepine,CYP3A4,substrate,KEGG, Not Specified,,,, 
Carbamazepine,CYP1A2,inhibitor,SuperCYP,human,,,,
Carbamazepine,CYP1A2,substrate,SuperCYP,human,,,,
Carbamazepine,CYP1A2,inducer,SuperCYP,human,,,,
Carbamazepine,CYP1A2,substrate,SuperCYP,human,,,,
Carbamazepine,CYP2A6,inducer,SuperCYP,human,,,,
Carbamazepine,CYP2B6,substrate,SuperCYP,human,,,,
Carbamazepine,CYP2B6,inducer,SuperCYP,human,,,,
Carbamazepine,CYP2C8,substrate,SuperCYP,human,,,,
Carbamazepine,CYP2C8,inducer,SuperCYP,human,,,,
Carbamazepine,CYP2C8,substrate,SuperCYP,human,,,,
Carbamazepine,CYP2C9,inducer,SuperCYP,human,,,,
Carbamazepine,CYP2C9,inducer,SuperCYP,human,,,,
Carbamazepine,CYP2C19,inducer,SuperCYP,human,,,,
Carbamazepine,CYP2C19,inhibitor,SuperCYP,human,,,,
Carbamazepine,CYP2C19,inducer,SuperCYP,human,,,,
Carbamazepine,CYP3A4,substrate,SuperCYP,human,,,,
Carbamazepine,CYP3A4,inducer,SuperCYP,human,,,,
Carbamazepine,CYP3A4,inducer,SuperCYP,human,,,,
Carbamazepine,CYP3A4,inducer,SuperCYP,human,,,,
Carbamazepine,CYP3A4,substrate,SuperCYP,human,,,,
Carbamazepine,CYP3A5,substrate,SuperCYP,,,,,
Carbamazepine,CYP3A5,inducer,SuperCYP,human,,,,
Carbamazepine,CYP3A5,inducer,SuperCYP,human,,,,
Carbamazepine,CYP3A7,substrate,SuperCYP,human,,,,
Carbamazepine,CYP3A4,substrate,SuperCYP,human,,,,
Carbamazepine,CYP3A4,inducer,SuperCYP,human,,,,
Carbamazepine,CYP3A4,inducer,SuperCYP,human,,,,
Carbamazepine,CYP3A4,inducer,SuperCYP,human,,,,
Carbamazepine,CYP3A4,substrate,SuperCYP,human,,,,
Carbamazepine,CYP3A5,substrate,SuperCYP,,,,,
Carbamazepine,CYP3A5,inducer,SuperCYP,human,,,,
Carbamazepine,CYP3A5,inducer,SuperCYP,human,,,,
Carbamazepine,CYP3A7,substrate,SuperCYP,human,,,,
Carbamide,CYP2E1,inducer,SuperCYP,,,,,
Carbenicillin,SLC22A6,inhibitor,Transporter,,,,,
Carbinoxamine,CYP2B6,substrate,DrugBank,Not Specified,DB00748,,,
Carbinoxamine,CYP2C8,substrate,DrugBank,Not Specified,DB00748,,,
Carbinoxamine,CYP2C9,substrate,DrugBank,Not Specified,DB00748,,,
Carbinoxamine,CYP2C19,substrate,DrugBank,Not Specified,DB00748,,,
Carbinoxamine,CYP2D6,inhibitor,DrugBank,Not Specified,DB00748,,,
Carbinoxamine,CYP2E1,substrate,DrugBank,Not Specified,DB00748,,,
Carbinoxamine,CYP3A4,substrate,DrugBank,Not Specified,DB00748,,,
Carbinoxamine,CYP3A4,substrate,DrugBank,Not Specified,DB00748,,,
Carbinoxamine,CYP2B6,substrate,SuperCYP,human,,,,
Carbinoxamine,CYP2C8,substrate,SuperCYP,human,,,,
Carbinoxamine,CYP2C9,substrate,SuperCYP,human,,,,
Carbinoxamine,CYP2C19,substrate,SuperCYP,human,,,,
Carbinoxamine,CYP2D6,inhibitor,SuperCYP,human,,,,
Carbinoxamine,CYP2E1,substrate,SuperCYP,human,,,,
Carbinoxamine,CYP3A4,substrate,SuperCYP,human,,,,
Carbinoxamine,CYP3A4,substrate,SuperCYP,human,,,,
Carboplatin,ABCG2,substrate,Transporter,,,,,
Carboplatin,CYP3A4,inducer,SuperCYP,,,,,
Carboplatin,CYP3A4,inducer,SuperCYP,,,,,
Cariprazine,CYP2D6,substrate,DrugBank,Not Specified,DB06016,,,
Cariprazine,CYP3A4,substrate,DrugBank,Not Specified,DB06016,,,
Cariprazine,CYP3A4,substrate,DrugBank,Not Specified,DB06016,,,
Carisoprodol,CYP2C19,substrate,DrugBank,Not Specified,DB00395,,,
carisoprodol,CYP2C19,substrate,Indiana University,Not Specified,,,,
Carisoprodol,CYP2C19,substrate,KEGG, Not Specified,,,, 
carisoprodol,CYP2C19,substrate,ildcare,Not Specified,,,,
Carisoprodol,CYP2C19,substrate,SuperCYP,human,,,,
Carisoprodol,CYP2C19,substrate,SuperCYP,human,,,,
Carmofur,CYP2C9,inhibitor,KEGG, Not Specified,,,, 
Carmofur,CYP2C9,inhibitor,KEGG, Not Specified,,,, 
Carmustine,CYP1A2,substrate,DrugBank,Not Specified,DB00262,,,
Carmustine,CYP1A2,substrate,SuperCYP,human,,,,
Carprofen,SLC22A6,inhibitor,Transporter,,,,,
Carteolol,CYP2D6,"substrate,inhibitor",DrugBank,Not Specified,DB00521,,,
Carteolol,CYP2D6,substrate,KEGG, Not Specified,,,, 
Carteolol,CYP2D6,substrate,KEGG, Not Specified,,,, 
Carteolol,CYP2D6,substrate,KEGG, Not Specified,,,, 
Carteolol,CYP2D6,substrate,SuperCYP,human,,,,
Carteolol,CYP2D6,inhibitor,SuperCYP,human,,,,
Carvedilol,CYP1A1,substrate,DrugBank,Not Specified,DB01136,,,
Carvedilol,CYP1A2,substrate,DrugBank,Not Specified,DB01136,,,
Carvedilol,CYP1A2,substrate,KEGG, Not Specified,,,, 
Carvedilol,CYP2C9,substrate,DrugBank,Not Specified,DB01136,,,
Carvedilol,CYP2C9,substrate,KEGG, Not Specified,,,, 
carvedilol,CYP2C9,substrate,ildcare,Not Specified,,,,
Carvedilol,CYP2D6,substrate,DrugBank,Not Specified,DB01136,,,
carvedilol,CYP2D6,substrate,Indiana University,Not Specified,,,,
Carvedilol,CYP2D6,substrate,KEGG, Not Specified,,,, 
carvedilol,CYP2D6,substrate,ildcare,Not Specified,,,,
Carvedilol,CYP2E1,substrate,DrugBank,Not Specified,DB01136,,,
Carvedilol,CYP3A4,substrate,DrugBank,Not Specified,DB01136,,,
Carvedilol,CYP3A4,substrate,KEGG, Not Specified,,,, 
Carvedilol,CYP3A4,substrate,DrugBank,Not Specified,DB01136,,,
Carvedilol,CYP3A4,substrate,KEGG, Not Specified,,,, 
Carvedilol,CYP1A2,substrate,SuperCYP,human,,,,
Carvedilol,CYP2C9,substrate,SuperCYP,human,,,,
Carvedilol,CYP2D6,substrate,SuperCYP,human,,,,
Carvedilol,CYP2D6,substrate,SuperCYP,,,,,
Carvedilol,CYP2D6,substrate,SuperCYP,human,,,,
Carvedilol,CYP2E1,substrate,SuperCYP,human,,,,
Carvedilol,CYP2E1,substrate,SuperCYP,human,,,,
Carvedilol,CYP3A4,substrate,SuperCYP,human,,,,
Carvedilol,CYP3A4,substrate,SuperCYP,human,,,,
Carvedilol,CYP3A4,substrate,SuperCYP,human,,,,
Carvedilol,CYP3A4,substrate,SuperCYP,human,,,,
Carvedilol,CYP1A2,substrate,KEGG, Not Specified,,,, 
Carvedilol,CYP2C9,substrate,KEGG, Not Specified,,,, 
Carvedilol,CYP2D6,substrate,KEGG, Not Specified,,,, 
Carvedilol,CYP3A4,substrate,KEGG, Not Specified,,,, 
Carvedilol,CYP3A4,substrate,KEGG, Not Specified,,,, 
Casopitant,CYP3A,inhibitor,KEGG, Not Specified,,,, 
Caspofungin,CYP3A4,inhibitor,DrugBank,Not Specified,DB00520,,,
Caspofungin,CYP3A4,inhibitor,DrugBank,Not Specified,DB00520,,,
Caspofungin,SLCO1B1,inhibitor,Transporter,,,,,
Caspofungin,SLC01B1,inhibitor,Transporter,,,,,
Caspofungin,SLC01B3,substrate,Transporter,,,,,
Caspofungin,SLC22A6,inhibitor,Transporter,,,,,
Caspofungin,CYP3A4,inhibitor,SuperCYP,human,,,,
Caspofungin,CYP3A4,inhibitor,SuperCYP,human,,,,
Cefacetrile,SLC22A6,"substrate,inhibitor",Transporter,,,,,
Cefacetrile,SLC22A8,"substrate,inhibitor",Transporter,,,,,
Cefadroxil,SLC22A6,inhibitor,Transporter,,,,,
Cefadroxil,SLC22A8,inhibitor,Transporter,,,,,
Cefalexin,CYP2D6,substrate,SuperCYP,human,,,,
Cefalexin,CYP3A4,substrate,SuperCYP,human,,,,
Cefalexin,CYP3A4,substrate,SuperCYP,human,,,,
Cefaloridine,CYP2C8,substrate,SuperCYP,human,,,,
Cefalotin,SLC22A6,inhibitor,Transporter,,,,,
Cefalotin,SLC22A8,inhibitor,Transporter,,,,,
Cefamandole,SLC22A6,inhibitor,Transporter,,,,,
Cefamandole,SLC22A8,inhibitor,Transporter,,,,,
Cefazolin,SLC22A6,"substrate,inhibitor",Transporter,,,,,
Cefazolin,SLC22A8,inhibitor,Transporter,,,,,
Cefoperazone,SLC22A6,inhibitor,Transporter,,,,,
Cefoperazone,SLC22A8,inhibitor,Transporter,,,,,
Cefotaxime,SLC22A6,inhibitor,Transporter,,,,,
Cefotaxime,SLC22A8,inhibitor,Transporter,,,,,
Cefotiam,SLC22A6,inhibitor,Transporter,,,,,
Cefradine,CYP3A4,inducer,DrugBank,Not Specified,DB01333,,,
Cefradine,CYP3A4,inducer,DrugBank,Not Specified,DB01333,,,
Cefradine,SLC22A6,inhibitor,Transporter,,,,,
Ceftazidime,SLC22A6,inhibitor,Transporter,,,,,
Ceftriaxone,SLC22A6,inhibitor,Transporter,,,,,
Ceftriaxone,SLC22A8,inhibitor,Transporter,,,,,
Celecoxib,CYP2C9,substrate,DrugBank,Not Specified,DB00482,,,
celecoxib,CYP2C9,substrate,Indiana University,Not Specified,,,,
Celecoxib,CYP2C9,substrate,KEGG, Not Specified,,,, Sensitive
celecoxib,CYP2C9,substrate,ildcare,Not Specified,,,,
Celecoxib,CYP2D6,inhibitor,DrugBank,Not Specified,DB00482,,,
celecoxib,CYP2D6,inhibitor,Indiana University,Not Specified,,,,
Celecoxib,CYP2D6,inhibitor,KEGG, Not Specified,,,, Weak
Celecoxib,CYP2D6,substrate,KEGG, Not Specified,,,, 
celecoxib,CYP2D6,Inhibitor,ildcare,Not Specified,,,,
Celecoxib,CYP3A4,substrate,DrugBank,Not Specified,DB00482,,,
Celecoxib,CYP3A4,substrate,DrugBank,Not Specified,DB00482,,,
Celecoxib,CYP2C9,substrate,SuperCYP,human,,,,
Celecoxib,CYP2C9,substrate,SuperCYP,human,,,,
Celecoxib,CYP2C9,substrate,SuperCYP,human,,,,
Celecoxib,CYP2D6,inhibitor,SuperCYP,human,,,,
Celecoxib,CYP2D6,inhibitor,SuperCYP,human,,,,
Celecoxib,CYP2D6,inhibitor,SuperCYP,human,,,,
Celecoxib,CYP3A4,substrate,SuperCYP,human,,,,
Celecoxib,CYP3A4,substrate,SuperCYP,human,,,,
Celecoxib,CYP3A4,substrate,SuperCYP,human,,,,
Celecoxib,CYP3A4,substrate,SuperCYP,human,,,,
Celecoxib,CYP3A4,substrate,SuperCYP,human,,,,
Celecoxib,CYP3A4,substrate,SuperCYP,human,,,,
Celiprolol,CYP3A4,substrate,DrugBank,Not Specified,DB04846,,,
Celiprolol,CYP3A4,substrate,DrugBank,Not Specified,DB04846,,,
Cephalexin,CYP2D6,substrate,DrugBank,Not Specified,DB00567,,,
Cephalexin,CYP3A4,substrate,DrugBank,Not Specified,DB00567,,,
Cephalexin,CYP3A4,substrate,DrugBank,Not Specified,DB00567,,,
Cephalexin,SLC22A6,"substrate,inhibitor",Transporter,,,,,
Cephalexin,SLC22A8,inhibitor,Transporter,,,,,
Cephalexin,SLC47A1,substrate,Transporter,,,,,
Cerivastatin,CYP2B6,inducer,DrugBank,Not Specified,DB00439,,,
Cerivastatin,CYP2B6,inducer,DrugBank,Not Specified,DB00439,,,
Cerivastatin,CYP2C8,"substrate,inhibitor",DrugBank,Not Specified,DB00439,,,
cerivastatin,CYP2C8,substrate,Indiana University,Not Specified,,,,
Cerivastatin,CYP2C8,substrate,KEGG, Not Specified,,,, 
Cerivastatin,CYP2C9,"inhibitor, inducer",DrugBank,Not Specified,DB00439,,,
Cerivastatin,CYP2C19,inhibitor,DrugBank,Not Specified,DB00439,,,
Cerivastatin,CYP2D6,inhibitor,DrugBank,Not Specified,DB00439,,,
Cerivastatin,CYP3A7,substrate,DrugBank,Not Specified,DB00439,,,
Cerivastatin,CYP3A5,substrate,DrugBank,Not Specified,DB00439,,,
Cerivastatin,CYP3A4,"substrate,inhibitor, inducer",DrugBank,Not Specified,DB00439,,,
Cerivastatin,CYP3A4,substrate,KEGG, Not Specified,,,, 
Cerivastatin,CYP3A4,"substrate,inhibitor, inducer",DrugBank,Not Specified,DB00439,,,
Cerivastatin,CYP3A4,substrate,KEGG, Not Specified,,,, 
Cerivastatin,CYP3A5,substrate,DrugBank,Not Specified,DB00439,,,
Cerivastatin,CYP3A7,substrate,DrugBank,Not Specified,DB00439,,,
Cerivastatin,SLCO1B1,substrate,Transporter,,,,,
Cerivastatin,ABCG2,substrate,Transporter,,,,,
Cerivastatin,SLC01B1,substrate,Transporter,,,,,
Cerivastatin,CYP2C8,inhibitor,SuperCYP,human,,,,
Cerivastatin,CYP2C8,substrate,SuperCYP,human,,,,
Cerivastatin,CYP2C8,substrate,SuperCYP,human,,,,
Cerivastatin,CYP3A4,inhibitor,SuperCYP,human,,,,
Cerivastatin,CYP3A4,substrate,SuperCYP,human,,,,
Cerivastatin,CYP3A4,substrate,SuperCYP,human,,,,
Cerivastatin,CYP3A5,substrate,SuperCYP,,,,,
Cerivastatin,CYP3A7,substrate,SuperCYP,,,,,
cerivastatin,CYP3A4,substrate,Indiana University,Not Specified,,,,
cerivastatin,CYP3A5,substrate,Indiana University,Not Specified,,,,
cerivastatin,CYP3A7,substrate,Indiana University,Not Specified,,,,
Cerivastatin,CYP3A4,inhibitor,SuperCYP,human,,,,
Cerivastatin,CYP3A4,substrate,SuperCYP,human,,,,
Cerivastatin,CYP3A4,substrate,SuperCYP,human,,,,
cerivastatin,CYP3A4,substrate,Indiana University,Not Specified,,,,
Cerivastatin,CYP3A5,substrate,SuperCYP,,,,,
cerivastatin,CYP3A5,substrate,Indiana University,Not Specified,,,,
Cerivastatin,CYP3A7,substrate,SuperCYP,,,,,
cerivastatin,CYP3A7,substrate,Indiana University,Not Specified,,,,
Cerivastatin,CYP2C8,substrate,KEGG, Not Specified,,,, 
Cerivastatin,CYP3A4,substrate,KEGG, Not Specified,,,, 
Cerivastatin,CYP3A4,substrate,KEGG, Not Specified,,,, 
Cethromycin,CYP3A5,substrate,DrugBank,Not Specified,DB06419,,,
Cethromycin,CYP3A5,substrate,DrugBank,Not Specified,DB06419,,,
Cetirizine,CYP3A4,substrate,SuperCYP,,,,,
Cetirizine,CYP3A4,substrate,SuperCYP,,,,,
Cevimeline,CYP2D6,substrate,DrugBank,Not Specified,DB00185,,,
Cevimeline,CYP2D6,substrate,KEGG, Not Specified,,,, 
Cevimeline,CYP2D6,substrate,KEGG, Not Specified,,,, 
cevimeline,CYP2D6,substrate,ildcare,Not Specified,,,,
Cevimeline,CYP3A4,substrate,DrugBank,Not Specified,DB00185,,,
Cevimeline,CYP3A4,substrate,KEGG, Not Specified,,,, 
Cevimeline,CYP3A4,substrate,KEGG, Not Specified,,,, 
cevimeline,CYP3A4,substrate,ildcare,Not Specified,,,,
Cevimeline,CYP3A4,substrate,DrugBank,Not Specified,DB00185,,,
Cevimeline,CYP3A4,substrate,KEGG, Not Specified,,,, 
Cevimeline,CYP3A4,substrate,KEGG, Not Specified,,,, 
cevimeline,CYP3A4,substrate,ildcare,Not Specified,,,,
char-grilled meat,CYP1A2,inducer,Indiana University,Not Specified,,,,
charbroiled food,CYP1A2,Inducer,ildcare,Not Specified,,,,
Chenodeoxycholic acid,CYP3A4,substrate,DrugBank,Not Specified,DB06777,,,
Chenodeoxycholic acid,CYP3A4,substrate,DrugBank,Not Specified,DB06777,,,
Chinin,CYP1A1,inducer,SuperCYP,human,,,,
Chinin,CYP1A1,inhibitor,SuperCYP,human,,,,
Chinin,CYP1A2,inducer,SuperCYP,human,,,,
Chinin,CYP1A2,inhibitor,SuperCYP,human,,,,
Chinin,CYP1A2,substrate,SuperCYP,human,,,,
Chinin,CYP1A2,inhibitor,SuperCYP,human,,,,
Chinin,CYP2C8,inhibitor,SuperCYP,human,,,,
Chinin,CYP2C9,inhibitor,SuperCYP,human,,,,
Chinin,CYP2C19,substrate,SuperCYP,human,,,,
Chinin,CYP2C19,substrate,SuperCYP,human,,,,
Chinin,CYP2C19,inhibitor,SuperCYP,human,,,,
Chinin,CYP2D6,inhibitor,SuperCYP,human,,,,
Chinin,CYP2D6,inhibitor,SuperCYP,human,,,,
Chinin,CYP3A4,substrate,SuperCYP,human,,,,
Chinin,CYP3A4,inducer,SuperCYP,human,,,,
Chinin,CYP3A4,inhibitor,SuperCYP,human,,,,
Chinin,CYP3A4,substrate,SuperCYP,human,,,,
Chinin,CYP3A5,substrate,SuperCYP,,,,,
Chinin,CYP3A7,substrate,SuperCYP,,,,,
Chinin,CYP3A4,substrate,SuperCYP,human,,,,
Chinin,CYP3A4,inducer,SuperCYP,human,,,,
Chinin,CYP3A4,inhibitor,SuperCYP,human,,,,
Chinin,CYP3A4,substrate,SuperCYP,human,,,,
Chinin,CYP3A5,substrate,SuperCYP,,,,,
Chinin,CYP3A7,substrate,SuperCYP,,,,,
Chloramphenicol,CYP2C8,inhibitor,DrugBank,Not Specified,DB00446,,,
Chloramphenicol,CYP2C9,inhibitor,DrugBank,Not Specified,DB00446,,,
chloramphenicol,CYP2C9,Inhibitor,ildcare,Not Specified,,,,
Chloramphenicol,CYP2C19,"substrate,inhibitor",DrugBank,Not Specified,DB00446,,,
chloramphenicol,CYP2C19,substrate,Indiana University,Not Specified,,,,
chloramphenicol,CYP2C19,inhibitor,Indiana University,Not Specified,,,,
Chloramphenicol,CYP2C19,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP2C19,substrate,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A7,inhibitor,DrugBank,Not Specified,DB00446,,,
Chloramphenicol,CYP3A5,inhibitor,DrugBank,Not Specified,DB00446,,,
Chloramphenicol,CYP3A4,inhibitor,DrugBank,Not Specified,DB00446,,,
chloramphenicol,CYP3A4,inhibitor,Indiana University,Not Specified,,,,
chloramphenicol,CYP3A5,inhibitor,Indiana University,Not Specified,,,,
chloramphenicol,CYP3A7,inhibitor,Indiana University,Not Specified,,,,
Chloramphenicol,CYP3A4,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A5,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A7,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A4,substrate,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A4,inhibitor,DrugBank,Not Specified,DB00446,,,
chloramphenicol,CYP3A4,inhibitor,Indiana University,Not Specified,,,,
Chloramphenicol,CYP3A4,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A4,substrate,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A5,inhibitor,DrugBank,Not Specified,DB00446,,,
chloramphenicol,CYP3A5,inhibitor,Indiana University,Not Specified,,,,
Chloramphenicol,CYP3A5,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A7,inhibitor,DrugBank,Not Specified,DB00446,,,
chloramphenicol,CYP3A7,inhibitor,Indiana University,Not Specified,,,,
Chloramphenicol,CYP3A7,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP2C19,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A4,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A5,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A7,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP2C19,substrate,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A4,substrate,KEGG, Not Specified,,,, 
Chloramphenicol,SLC22A6,inhibitor,Transporter,,,,,
Chloramphenicol,CYP2C8,inhibitor,SuperCYP,human,,,,
Chloramphenicol,CYP2C9,inhibitor,SuperCYP,human,,,,
Chloramphenicol,CYP2C9,inhibitor,SuperCYP,human,,,,
Chloramphenicol,CYP2C19,inhibitor,SuperCYP,human,,,,
Chloramphenicol,CYP2C19,substrate,SuperCYP,,,,,
Chloramphenicol,CYP2C19,inhibitor,SuperCYP,human,,,,
Chloramphenicol,CYP3A4,inhibitor,SuperCYP,human,,,,
Chloramphenicol,CYP3A4,inhibitor,SuperCYP,human,,,,
Chloramphenicol,CYP3A4,inhibitor,SuperCYP,human,,,,
Chloramphenicol,CYP3A4,inhibitor,SuperCYP,human,,,,
Chloramphenicol,CYP2C19,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP2C19,substrate,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A4,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A5,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A7,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A4,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A5,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A7,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP2C19,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A4,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A5,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A7,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP2C19,substrate,KEGG, Not Specified,,,, 
Chloramphenicol,CYP2C19,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP2C19,substrate,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A4,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A5,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A7,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A4,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A5,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A7,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP2C19,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A4,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A5,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A7,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP2C19,substrate,KEGG, Not Specified,,,, 
Chloramphenicol,CYP2C19,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP2C19,substrate,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A4,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A5,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A7,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A4,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A5,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A7,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP2C19,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP2C19,substrate,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A4,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A5,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A7,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A4,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A5,inhibitor,KEGG, Not Specified,,,, 
Chloramphenicol,CYP3A7,inhibitor,KEGG, Not Specified,,,, 
chlordiazepoxide,CYP1A2,substrate,ildcare,Not Specified,,,,
Chlordiazepoxide,CYP2D6,substrate,DrugBank,Not Specified,DB00475,,,
Chlordiazepoxide,CYP3A4,substrate,DrugBank,Not Specified,DB00475,,,
Chlordiazepoxide,CYP3A4,substrate,DrugBank,Not Specified,DB00475,,,
Chlordiazepoxide,CYP2D6,substrate,SuperCYP,human,,,,
Chlordiazepoxide,CYP3A4,substrate,SuperCYP,human,,,,
Chlordiazepoxide,CYP3A4,substrate,SuperCYP,human,,,,
Chlormadinone,CYP2C19,inhibitor,SuperCYP,,,,,
Chlormadinone,CYP3A4,inhibitor,SuperCYP,,,,,
Chlormadinone,CYP3A4,inhibitor,SuperCYP,,,,,
Chloroform,CYP2A6,substrate,SuperCYP,human,,,,
Chloroform,CYP2C19,substrate,SuperCYP,human,,,,
Chloroform,CYP2E1,substrate,SuperCYP,human,,,,
Chloroform,CYP2E1,substrate,SuperCYP,human,,,,
Chloroform,CYP2E1,substrate,SuperCYP,mouse,,,,
Chloroquine,CYP1A1,substrate,DrugBank,Not Specified,DB00608,,,
Chloroquine,CYP2C8,substrate,DrugBank,Not Specified,DB00608,,,
Chloroquine,CYP2D6,"substrate,inhibitor",DrugBank,Not Specified,DB00608,,,
chloroquine,CYP2D6,Inhibitor,ildcare,Not Specified,,,,
Chloroquine,CYP3A5,substrate,DrugBank,Not Specified,DB00608,,,
Chloroquine,CYP3A4,substrate,DrugBank,Not Specified,DB00608,,,
Chloroquine,CYP3A4,substrate,DrugBank,Not Specified,DB00608,,,
Chloroquine,CYP3A5,substrate,DrugBank,Not Specified,DB00608,,,
Chloroquine,CYP1A1,substrate,SuperCYP,human,,,,
Chloroquine,CYP2C8,substrate,SuperCYP,human,,,,
Chloroquine,CYP2C8,substrate,SuperCYP,human,,,,
Chloroquine,CYP2D6,inhibitor,SuperCYP,human,,,,
Chloroquine,CYP2D6,substrate,SuperCYP,human,,,,
Chloroquine,CYP2D6,inhibitor,SuperCYP,human,,,,
Chloroquine,CYP2D6,substrate,SuperCYP,human,,,,
Chloroquine,CYP3A4,substrate,SuperCYP,human,,,,
Chloroquine,CYP3A4,substrate,SuperCYP,human,,,,
Chloroquine,CYP3A5,substrate,SuperCYP,human,,,,
Chloroquine,CYP3A5,substrate,SuperCYP,human,,,,
Chloroquine,CYP3A4,substrate,SuperCYP,human,,,,
Chloroquine,CYP3A4,substrate,SuperCYP,human,,,,
Chloroquine,CYP3A5,substrate,SuperCYP,human,,,,
Chloroquine,CYP3A5,substrate,SuperCYP,human,,,,
Chlorothiazide,SLC22A6,inhibitor,Transporter,,,,,
